sentence_id,sentence,cleaned_sentence,tokens
0,"_
            The Breaking of the Fellowship

     Aragorn led them to the right arm of the River.",the breaking of the fellowship aragorn led them to the right arm of the river,breaking fellowship aragorn led right arm river
1,Here upon its western side under the shadow of Tol Brandir a green lawn ran down to the water from the feet of Amon Hen.,here upon its western side under the shadow of tol brandir a green lawn ran down to the water from the feet of amon hen,upon western side shadow tol brandir green lawn ran water feet amon hen
2,"Behind it rose the first gentle slopes of the hill clad with trees, and trees marched away westward along the curving shores of the lake.",behind it rose the first gentle slopes of the hill clad with trees and trees marched away westward along the curving shores of the lake,behind rose first gentle slopes hill clad trees trees marched away westward along curving shores lake
3,A little spring fell tumbling down and fed the grass.,a little spring fell tumbling down and fed the grass,little spring fell tumbling fed grass
4,"'Here we will rest tonight,' said Aragorn.",here we will rest tonight said aragorn,rest tonight said aragorn
5,`This is the lawn of Parth Galen: a fair place in the summer days of old.,this is the lawn of parth galen a fair place in the summer days of old,lawn parth galen fair place summer days old
6,Let us hope that no evil has yet come here.',let us hope that no evil has yet come here,let us hope evil yet come
7,"They drew up their boats on the green banks, and beside them they made their camp.",they drew up their boats on the green banks and beside them they made their camp,drew boats green banks beside made camp
8,"They set a watch, but had no sight nor sound of their enemies.",they set a watch but had no sight nor sound of their enemies,set watch sight sound enemies
9,"If Gollum had contrived to follow them, he remained unseen and unheard.",if gollum had contrived to follow them he remained unseen and unheard,gollum contrived follow remained unseen unheard
10,"Nonetheless as the night wore on Aragorn grew uneasy, tossing often in his sleep and waking.",nonetheless as the night wore on aragorn grew uneasy tossing often in his sleep and waking,nonetheless night wore aragorn grew uneasy tossing often sleep waking
11,"In the small hours he got up and came to Frodo, whose turn it was to watch.",in the small hours he got up and came to frodo whose turn it was to watch,small hours got came frodo whose turn watch
12,`Why are you waking? ',why are you waking,waking
13,asked Frodo.,asked frodo,asked frodo
14,`It is not your watch.',it is not your watch,watch
15,"`I do not know,' answered Aragorn; `but a shadow and a threat has been growing in my sleep.",i do not know answered aragorn but a shadow and a threat has been growing in my sleep,know answered aragorn shadow threat growing sleep
16,It would be well to draw your sword.',it would be well to draw your sword,would well draw sword
17,`Why? ',why,
18,said Frodo.,said frodo,said frodo
19,`Are enemies at hand? ',are enemies at hand,enemies hand
20,"`Let us see what Sting may show,' answered Aragorn.",let us see what sting may show answered aragorn,let us see sting may show answered aragorn
21,Frodo then drew the elf-blade from its sheath.,frodo then drew the elfblade from its sheath,frodo drew elfblade sheath
22,To his dismay the edges gleamed dimly in the night.,to his dismay the edges gleamed dimly in the night,dismay edges gleamed dimly night
23,`Orcs! ',orcs,orcs
24,he said.,he said,said
25,"`Not very near, and yet too near, it seems.'",not very near and yet too near it seems,near yet near seems
26,"`I feared as much,' said Aragorn.",i feared as much said aragorn,feared much said aragorn
27,`But maybe they are not on this side of the River.,but maybe they are not on this side of the river,maybe side river
28,"The light of Sting is faint, and it may point to no more than spies of Mordor roaming on the slopes of Amon Lhaw.",the light of sting is faint and it may point to no more than spies of mordor roaming on the slopes of amon lhaw,light sting faint may point spies mordor roaming slopes amon lhaw
29,I have never heard before of Orcs upon Amon Hen.,i have never heard before of orcs upon amon hen,never heard orcs upon amon hen
30,"Yet who knows what may happen in these evil days, now that Minas Tirith no longer holds secure the passages of Anduin.",yet who knows what may happen in these evil days now that minas tirith no longer holds secure the passages of anduin,yet knows may happen evil days minas tirith longer holds secure passages anduin
31,We must go warily tomorrow.',we must go warily tomorrow,must go warily tomorrow
32,The day came like fire and smoke.,the day came like fire and smoke,day came like fire smoke
33,Low in the East there were black bars of cloud like the fumes of a great burning.,low in the east there were black bars of cloud like the fumes of a great burning,low east black bars cloud like fumes great burning
34,The rising sun lit them from beneath with flames of murky red; but soon it climbed above them into a clear sky.,the rising sun lit them from beneath with flames of murky red but soon it climbed above them into a clear sky,rising sun lit beneath flames murky red soon climbed clear sky
35,The summit of Tol Brandir was tipped with gold.,the summit of tol brandir was tipped with gold,summit tol brandir tipped gold
36,Frodo looked out eastward and gazed at the tall island.,frodo looked out eastward and gazed at the tall island,frodo looked eastward gazed tall island
37,Its sides sprang sheer out of the running water.,its sides sprang sheer out of the running water,sides sprang sheer running water
38,"High up above the tall cliffs were steep slopes upon which trees climbed, mounting one head above another; and above them again were grey faces of inaccessible rock, crowned by a great spire of stone.",high up above the tall cliffs were steep slopes upon which trees climbed mounting one head above another and above them again were grey faces of inaccessible rock crowned by a great spire of stone,high tall cliffs steep slopes upon trees climbed mounting one head another grey faces inaccessible rock crowned great spire stone
39,"Many birds were circling about it, but no sign of other living things could be seen.",many birds were circling about it but no sign of other living things could be seen,many birds circling sign living things could seen
40,"When they had eaten, Aragorn called the Company together.",when they had eaten aragorn called the company together,eaten aragorn called company together
41,"`The day has come at last,' he said: 'the day of choice which we have long delayed.",the day has come at last he said the day of choice which we have long delayed,day come last said day choice long delayed
42,What shall now become of our Company that has travelled so far in fellowship?,what shall now become of our company that has travelled so far in fellowship,shall become company travelled far fellowship
43,Shall we turn west with Boromir and go to the wars of Gondor; or turn east to the Fear and Shadow; or shall we break our fellowship and go this way and that as each may choose?,shall we turn west with boromir and go to the wars of gondor or turn east to the fear and shadow or shall we break our fellowship and go this way and that as each may choose,shall turn west boromir go wars gondor turn east fear shadow shall break fellowship go way may choose
44,Whatever we do must be done soon.,whatever we do must be done soon,whatever must done soon
45,We cannot long halt here.,we cannot long halt here,long halt
46,"The enemy is on the eastern shore, we know; but I fear that the Orcs may already be on this side of the water.'",the enemy is on the eastern shore we know but i fear that the orcs may already be on this side of the water,enemy eastern shore know fear orcs may already side water
47,There was a long silence in which no one spoke or moved.,there was a long silence in which no one spoke or moved,long silence one spoke moved
48,"'Well, Frodo,' said Aragorn at last.",well frodo said aragorn at last,well frodo said aragorn last
49,`I fear that the burden is laid upon you.,i fear that the burden is laid upon you,fear burden laid upon
50,You are the Bearer appointed by the Council.,you are the bearer appointed by the council,bearer appointed council
51,Your own way you alone can choose.,your own way you alone can choose,way alone choose
52,In this matter I cannot advise you.,in this matter i cannot advise you,matter advise
53,"I am not Gandalf, and though I have tried to bear his part, I do not know what design or hope he had for this hour, if indeed he had any.",i am not gandalf and though i have tried to bear his part i do not know what design or hope he had for this hour if indeed he had any,gandalf though tried bear part know design hope hour indeed
54,Most likely it seems that if he were here now the choice would still wait on you.,most likely it seems that if he were here now the choice would still wait on you,likely seems choice would still wait
55,Such is your fate.',such is your fate,fate
56,Frodo did not answer at once.,frodo did not answer at once,frodo answer
57,Then he spoke slowly.,then he spoke slowly,spoke slowly
58,"`I know that haste is needed, yet I cannot choose.",i know that haste is needed yet i cannot choose,know haste needed yet choose
59,The burden is heavy.,the burden is heavy,burden heavy
60,"Give me an hour longer, and I will speak.",give me an hour longer and i will speak,give hour longer speak
61,Let me be alone! ',let me be alone,let alone
62,Aragorn looked at him with kindly pity.,aragorn looked at him with kindly pity,aragorn looked kindly pity
63,"`Very well, Frodo son of Drogo,' he said.",very well frodo son of drogo he said,well frodo son drogo said
64,"`You shall have an hour, and you shall be alone.",you shall have an hour and you shall be alone,shall hour shall alone
65,We will stay here for a while.,we will stay here for a while,stay
66,But do not stray far or out of call.',but do not stray far or out of call,stray far call
67,Frodo sat for a moment with his head bowed.,frodo sat for a moment with his head bowed,frodo sat moment head bowed
68,"Sam, who had been watching his master with great concern, shook his head and muttered: 'Plain as a pikestaff it is, but it's no good Sam Gamgee putting in his spoke just now.'",sam who had been watching his master with great concern shook his head and muttered plain as a pikestaff it is but its no good sam gamgee putting in his spoke just now,sam watching master great concern shook head muttered plain pikestaff good sam gamgee putting spoke
