sentence_id,sentence,cleaned_sentence,tokens
0,"_
            The Great River

     Frodo was roused by Sam.",the great river frodo was roused by sam,great river frodo roused sam
1,"He found that he was lying, well wrapped, under tall grey-skinned trees in a quiet corner of the woodlands on the west bank of the Great River, Anduin.",he found that he was lying well wrapped under tall greyskinned trees in a quiet corner of the woodlands on the west bank of the great river anduin,found lying well wrapped tall greyskinned trees quiet corner woodlands west bank great river anduin
2,"He had slept the night away, and the grey of morning was dim among the bare branches.",he had slept the night away and the grey of morning was dim among the bare branches,slept night away grey morning dim among bare branches
3,Gimli was busy with a small fire near at hand.,gimli was busy with a small fire near at hand,gimli busy small fire near hand
4,They started again before the day was broad.,they started again before the day was broad,started day broad
5,"Not that most of the Company were eager to hurry southwards: they were content that the decision, which they must make at latest when they came to Rauros and the Tindrock Isle, still lay some days ahead; and they let the River bear them on at its own pace, having no desire to hasten towards the perils that lay beyond, whichever course they took in the end.",not that most of the company were eager to hurry southwards they were content that the decision which they must make at latest when they came to rauros and the tindrock isle still lay some days ahead and they let the river bear them on at its own pace having no desire to hasten towards the perils that lay beyond whichever course they took in the end,company eager hurry southwards content decision must make latest came rauros tindrock isle still lay days ahead let river bear pace desire hasten towards perils lay beyond whichever course took end
6,"Aragorn let them drift with the stream as they wished, husbanding their strength against weariness to come.",aragorn let them drift with the stream as they wished husbanding their strength against weariness to come,aragorn let drift stream wished husbanding strength weariness come
7,"But he insisted that at least they should start early each day and journey on far into the evening; for he felt in his heart that time was pressing, and he feared that the Dark Lord had not been idle while they lingered in Lórien.",but he insisted that at least they should start early each day and journey on far into the evening for he felt in his heart that time was pressing and he feared that the dark lord had not been idle while they lingered in lorien,insisted least start early day journey far evening felt heart time pressing feared dark lord idle lingered lorien
8,"Nonetheless they saw no sign of an enemy that day, nor the next.",nonetheless they saw no sign of an enemy that day nor the next,nonetheless saw sign enemy day next
9,The dull grey hours passed without event.,the dull grey hours passed without event,dull grey hours passed without event
10,As the third day of their voyage wore on the lands changed slowly: the trees thinned and then failed altogether.,as the third day of their voyage wore on the lands changed slowly the trees thinned and then failed altogether,third day voyage wore lands changed slowly trees thinned failed altogether
11,"On the eastern bank to their left they saw long formless slopes stretching up and away toward the sky; brown and withered they looked, as if fire had passed over them, leaving no living blade of green: an unfriendly waste without even a broken tree or a bold stone to relieve the emptiness.",on the eastern bank to their left they saw long formless slopes stretching up and away toward the sky brown and withered they looked as if fire had passed over them leaving no living blade of green an unfriendly waste without even a broken tree or a bold stone to relieve the emptiness,eastern bank left saw long formless slopes stretching away toward sky brown withered looked fire passed leaving living blade green unfriendly waste without even broken tree bold stone relieve emptiness
12,"They had come to the Brown Lands that lay, vast and desolate, between Southern Mirkwood and the hills of the Emyn Muil.",they had come to the brown lands that lay vast and desolate between southern mirkwood and the hills of the emyn muil,come brown lands lay vast desolate southern mirkwood hills emyn muil
13,What pestilence or war or evil deed of the Enemy had so blasted all that region even Aragorn could not tell.,what pestilence or war or evil deed of the enemy had so blasted all that region even aragorn could not tell,pestilence war evil deed enemy blasted region even aragorn could tell
14,"Upon the west to their right the land was treeless also, but it was flat, and in many places green with wide plains of grass.",upon the west to their right the land was treeless also but it was flat and in many places green with wide plains of grass,upon west right land treeless also flat many places green wide plains grass
15,"On this side of the River they passed forests of great reeds, so tall that they shut out all view to the west, as the little boats went rustling by along their fluttering borders.",on this side of the river they passed forests of great reeds so tall that they shut out all view to the west as the little boats went rustling by along their fluttering borders,side river passed forests great reeds tall shut view west little boats went rustling along fluttering borders
16,"Their dark withered plumes bent and tossed in the light cold airs, hissing softly and sadly.",their dark withered plumes bent and tossed in the light cold airs hissing softly and sadly,dark withered plumes bent tossed light cold airs hissing softly sadly
17,"Here and there through openings Frodo could catch sudden glimpses of rolling meads, and far beyond them hills in the sunset, and away on the edge of sight a dark line, where marched the southernmost ranks of the Misty Mountains.",here and there through openings frodo could catch sudden glimpses of rolling meads and far beyond them hills in the sunset and away on the edge of sight a dark line where marched the southernmost ranks of the misty mountains,openings frodo could catch sudden glimpses rolling meads far beyond hills sunset away edge sight dark line marched southernmost ranks misty mountains
18,"There was no sign of living moving things, save birds.",there was no sign of living moving things save birds,sign living moving things save birds
19,"Of these there were many: small fowl whistling and piping in the reeds, but they were seldom seen.",of these there were many small fowl whistling and piping in the reeds but they were seldom seen,many small fowl whistling piping reeds seldom seen
20,"Once or twice the travellers heard the rush and whine of swan-wings, and looking up they saw a great phalanx streaming along the sky.",once or twice the travellers heard the rush and whine of swanwings and looking up they saw a great phalanx streaming along the sky,twice travellers heard rush whine swanwings looking saw great phalanx streaming along sky
21,`Swans! ',swans,swans
22,said Sam.,said sam,said sam
23,`And mighty big ones too! ',and mighty big ones too,mighty big ones
24,"`Yes,' said Aragorn, 'and they are black swans.'",yes said aragorn and they are black swans,yes said aragorn black swans
25,`How wide and empty and mournful all this country looks! ',how wide and empty and mournful all this country looks,wide empty mournful country looks
26,said Frodo.,said frodo,said frodo
27,"`I always imagined that as one journeyed south it got warmer and merrier, until winter was left behind for ever.'",i always imagined that as one journeyed south it got warmer and merrier until winter was left behind for ever,always imagined one journeyed south got warmer merrier winter left behind ever
28,"'But we have not journeyed far south yet,' answered Aragorn.",but we have not journeyed far south yet answered aragorn,journeyed far south yet answered aragorn
29,"`It is still winter, and we are far from the sea.",it is still winter and we are far from the sea,still winter far sea
30,"Here the world is cold until the sudden spring, and we may yet have snow again.",here the world is cold until the sudden spring and we may yet have snow again,world cold sudden spring may yet snow
