sentence_id,sentence,cleaned_sentence,tokens
31,"Far away down in the Bay of Belfalas, to which Anduin runs, it is warm and merry, maybe, or would be but for the Enemy.",far away down in the bay of belfalas to which anduin runs it is warm and merry maybe or would be but for the enemy,far away bay belfalas anduin runs warm merry maybe would enemy
32,"But here we are not above sixty leagues, I guess, south of the Southfarthing away in your Shire, hundreds of long miles yonder.",but here we are not above sixty leagues i guess south of the southfarthing away in your shire hundreds of long miles yonder,sixty leagues guess south southfarthing away shire hundreds long miles yonder
33,"You are looking now south-west across the north plains of the Riddermark, Rohan the land of the Horse-lords.",you are looking now southwest across the north plains of the riddermark rohan the land of the horselords,looking southwest across north plains riddermark rohan land horselords
34,Ere long we shall come to the mouth of the Limlight that runs down from Fangorn to join the Great River.,ere long we shall come to the mouth of the limlight that runs down from fangorn to join the great river,ere long shall come mouth limlight runs fangorn join great river
35,That is the north boundary of Rohan; and of old all that lay between Limlight and the White Mountains belonged to the Rohirrim.,that is the north boundary of rohan and of old all that lay between limlight and the white mountains belonged to the rohirrim,north boundary rohan old lay limlight white mountains belonged rohirrim
36,"It is a rich and pleasant land, and its grass has no rival; but in these evil days folk do not dwell by the River or ride often to its shores.",it is a rich and pleasant land and its grass has no rival but in these evil days folk do not dwell by the river or ride often to its shores,rich pleasant land grass rival evil days folk dwell river ride often shores
37,"Anduin is wide, yet the orcs can shoot their arrows far across the stream; and of late, it is said, they have dared to cross the water and raid the herds and studs of Rohan.'",anduin is wide yet the orcs can shoot their arrows far across the stream and of late it is said they have dared to cross the water and raid the herds and studs of rohan,anduin wide yet orcs shoot arrows far across stream late said dared cross water raid herds studs rohan
38,Sam looked from bank to bank uneasily.,sam looked from bank to bank uneasily,sam looked bank bank uneasily
39,"The trees had seemed hostile before, as if they harboured secret eyes and lurking dangers; now he wished that the trees were still there.",the trees had seemed hostile before as if they harboured secret eyes and lurking dangers now he wished that the trees were still there,trees seemed hostile harboured secret eyes lurking dangers wished trees still
40,"He felt that the Company was too naked, afloat in little open boats in the midst of shelterless lands, and on a river that was the frontier of war.",he felt that the company was too naked afloat in little open boats in the midst of shelterless lands and on a river that was the frontier of war,felt company naked afloat little open boats midst shelterless lands river frontier war
41,"In the next day or two, as they went on, borne steadily southwards, this feeling of insecurity grew on all the Company.",in the next day or two as they went on borne steadily southwards this feeling of insecurity grew on all the company,next day two went borne steadily southwards feeling insecurity grew company
42,For a whole day they took to their paddles and hastened forward.,for a whole day they took to their paddles and hastened forward,whole day took paddles hastened forward
43,The banks slid by.,the banks slid by,banks slid
44,"Soon the River broadened and grew more shallow; long stony beaches lay upon the east, and there were gravel-shoals in the water, so that careful steering was needed.",soon the river broadened and grew more shallow long stony beaches lay upon the east and there were gravelshoals in the water so that careful steering was needed,soon river broadened grew shallow long stony beaches lay upon east gravelshoals water careful steering needed
45,"The Brown Lands rose into bleak wolds, over which flowed a chill air from the East.",the brown lands rose into bleak wolds over which flowed a chill air from the east,brown lands rose bleak wolds flowed chill air east
46,On the other side the meads had become rolling downs of withered grass amidst a land of fen and tussock.,on the other side the meads had become rolling downs of withered grass amidst a land of fen and tussock,side meads become rolling downs withered grass amidst land fen tussock
47,"Frodo shivered, thinking of the lawns and fountains, the clear sun and gentle rains of Lothlórien.",frodo shivered thinking of the lawns and fountains the clear sun and gentle rains of lothlorien,frodo shivered thinking lawns fountains clear sun gentle rains lothlorien
48,There was little speech and no laughter in any of the boats.,there was little speech and no laughter in any of the boats,little speech laughter boats
49,Each member of the Company was busy with his own thoughts.,each member of the company was busy with his own thoughts,member company busy thoughts
50,"The heart of Legolas was running under the stars of a summer night in some northern glade amid the beech-woods; Gimli was fingering gold in his mind, and wondering if it were fit to be wrought into the housing of the Lady's gift.",the heart of legolas was running under the stars of a summer night in some northern glade amid the beechwoods gimli was fingering gold in his mind and wondering if it were fit to be wrought into the housing of the ladys gift,heart legolas running stars summer night northern glade amid beechwoods gimli fingering gold mind wondering fit wrought housing ladys gift
51,"Merry and Pippin in the middle boat were ill at ease, for Boromir sat muttering to himself, sometimes biting his nails, as if some restlessness or doubt consumed him, sometimes seizing a paddle and driving the boat close behind Aragorn's.",merry and pippin in the middle boat were ill at ease for boromir sat muttering to himself sometimes biting his nails as if some restlessness or doubt consumed him sometimes seizing a paddle and driving the boat close behind aragorns,merry pippin middle boat ill ease boromir sat muttering sometimes biting nails restlessness doubt consumed sometimes seizing paddle driving boat close behind aragorns
52,"Then Pippin, who sat in the bow looking back, caught a queer gleam in his eye, as he peered forward gazing at Frodo.",then pippin who sat in the bow looking back caught a queer gleam in his eye as he peered forward gazing at frodo,pippin sat bow looking back caught queer gleam eye peered forward gazing frodo
53,"Sam had long ago made up his mind that, though boats were maybe not as dangerous as he had been brought up to believe, they were far more uncomfortable than even he had imagined.",sam had long ago made up his mind that though boats were maybe not as dangerous as he had been brought up to believe they were far more uncomfortable than even he had imagined,sam long ago made mind though boats maybe dangerous brought believe far uncomfortable even imagined
54,"He was cramped and miserable, having nothing to do but stare at the winter-lands crawling by and the grey water on either side of him.",he was cramped and miserable having nothing to do but stare at the winterlands crawling by and the grey water on either side of him,cramped miserable nothing stare winterlands crawling grey water either side
55,Even when the paddles were in use they did not trust Sam with one.,even when the paddles were in use they did not trust sam with one,even paddles use trust sam one
56,"As dusk drew down on the fourth day, he was looking back over the bowed heads of Frodo and Aragorn and the following boats; he was drowsy and longed for camp and the feel of earth under his toes.",as dusk drew down on the fourth day he was looking back over the bowed heads of frodo and aragorn and the following boats he was drowsy and longed for camp and the feel of earth under his toes,dusk drew fourth day looking back bowed heads frodo aragorn following boats drowsy longed camp feel earth toes
57,"Suddenly something caught his sight: at first he stared at it listlessly, then he sat up and rubbed his eyes; but when he looked again he could not see it any more.",suddenly something caught his sight at first he stared at it listlessly then he sat up and rubbed his eyes but when he looked again he could not see it any more,suddenly something caught sight first stared listlessly sat rubbed eyes looked could see
58,That night they camped on a small eyot close to the western bank.,that night they camped on a small eyot close to the western bank,night camped small eyot close western bank
59,Sam lay rolled in blankets beside Frodo.,sam lay rolled in blankets beside frodo,sam lay rolled blankets beside frodo
60,"`I had a funny dream an hour or two before we stopped, Mr. Frodo,' he said.",i had a funny dream an hour or two before we stopped mr frodo he said,funny dream hour two stopped mr frodo said
61,`Or maybe it wasn't a dream.,or maybe it wasnt a dream,maybe wasnt dream
62,Funny it was anyway.',funny it was anyway,funny anyway
63,"`Well, what was it? '",well what was it,well
64,"said Frodo, knowing that Sam would not settle down until he had told his tale, whatever it was.",said frodo knowing that sam would not settle down until he had told his tale whatever it was,said frodo knowing sam would settle told tale whatever
65,'I haven't seen or thought of anything to make me smile since we left Lothlórien.',i havent seen or thought of anything to make me smile since we left lothlorien,havent seen thought anything make smile since left lothlorien
66,"`It wasn't funny that way, Mr. Frodo.",it wasnt funny that way mr frodo,wasnt funny way mr frodo
67,It was queer.,it was queer,queer
68,"All wrong, if it wasn't a dream.",all wrong if it wasnt a dream,wrong wasnt dream
69,And you had best hear it.,and you had best hear it,best hear
70,It was like this: I saw a log with eyes! ',it was like this i saw a log with eyes,like saw log eyes
71,"`The log's all right,' said Frodo.",the logs all right said frodo,logs right said frodo
72,`There are many in the River.,there are many in the river,many river
73,But leave out the eyes! ',but leave out the eyes,leave eyes
74,"`That I won't,' said Sam.",that i wont said sam,wont said sam
75,"` 'Twas the eyes as made me sit up, so to speak.",twas the eyes as made me sit up so to speak,twas eyes made sit speak
76,I saw what I took to be a log floating along in the half-light behind Gimli's boat; but I didn't give much heed to it.,i saw what i took to be a log floating along in the halflight behind gimlis boat but i didnt give much heed to it,saw took log floating along halflight behind gimlis boat didnt give much heed
77,Then it seemed as if the log was slowly catching us up.,then it seemed as if the log was slowly catching us up,seemed log slowly catching us
78,"And that was peculiar, as you might say, seeing as we were all floating on the stream together.",and that was peculiar as you might say seeing as we were all floating on the stream together,peculiar might say seeing floating stream together
79,"Just then I saw the eyes: two pale sort of points, shiny-like, on a hump at the near end of the log.",just then i saw the eyes two pale sort of points shinylike on a hump at the near end of the log,saw eyes two pale sort points shinylike hump near end log
80,"What's more, it wasn't a log, for it had paddle-feet, like a swan's almost, only they seemed bigger, and kept dipping in and out of the water.",whats more it wasnt a log for it had paddlefeet like a swans almost only they seemed bigger and kept dipping in and out of the water,whats wasnt log paddlefeet like swans almost seemed bigger kept dipping water
81,"'That's when I sat right up and rubbed my eyes, meaning to give a shout, if it was still there when I had rubbed the drowse out of my head.",thats when i sat right up and rubbed my eyes meaning to give a shout if it was still there when i had rubbed the drowse out of my head,thats sat right rubbed eyes meaning give shout still rubbed drowse head
82,For the whatever-it-was was coming along fast now and getting close behind Gimli.,for the whateveritwas was coming along fast now and getting close behind gimli,whateveritwas coming along fast getting close behind gimli
83,"But whether those two lamps spotted me moving and staring, or whether I came to my senses, I don't know.",but whether those two lamps spotted me moving and staring or whether i came to my senses i dont know,whether two lamps spotted moving staring whether came senses dont know
84,"When I looked again, it wasn't there.",when i looked again it wasnt there,looked wasnt
85,"Yet I think I caught a glimpse with the tail of-my eye, as the saying is, of something dark shooting under the shadow of the bank.",yet i think i caught a glimpse with the tail ofmy eye as the saying is of something dark shooting under the shadow of the bank,yet think caught glimpse tail ofmy eye saying something dark shooting shadow bank
86,I couldn't see no more eyes though.,i couldnt see no more eyes though,couldnt see eyes though
87,"`I said to myself: ""dreaming again, Sam Gamgee,"" I said: and I said no more just then.",i said to myself dreaming again sam gamgee i said and i said no more just then,said dreaming sam gamgee said said
88,But I've been thinking since.,but ive been thinking since,ive thinking since
89,and now I'm not so sure.,and now im not so sure,im sure
90,"What do you make of it, Mr. Frodo? '",what do you make of it mr frodo,make mr frodo
91,"'I should make nothing of it but a log and the dusk and sleep in your eyes Sam, said Frodo, if this was the first time that those eyes had been seen.",i should make nothing of it but a log and the dusk and sleep in your eyes sam said frodo if this was the first time that those eyes had been seen,make nothing log dusk sleep eyes sam said frodo first time eyes seen
92,But it isn't.,but it isnt,isnt
93,I saw them away back north before we reached Lórien.,i saw them away back north before we reached lorien,saw away back north reached lorien
94,And I saw a strange creature with eyes climbing to the flet that night.,and i saw a strange creature with eyes climbing to the flet that night,saw strange creature eyes climbing flet night
95,Haldir saw it too.,haldir saw it too,haldir saw
96,And do you remember the report of the Elves that went after the orc-band? ',and do you remember the report of the elves that went after the orcband,remember report elves went orcband
97,"`Ah,' said Sam.",ah said sam,ah said sam
98,`I do; and I remember more too.,i do and i remember more too,remember
99,"I don't like my thoughts; but thinking of one thing and another, and Mr. Bilbo's stories and all, I fancy I could put a name on the creature, at a guess.",i dont like my thoughts but thinking of one thing and another and mr bilbos stories and all i fancy i could put a name on the creature at a guess,dont like thoughts thinking one thing another mr bilbos stories fancy could put name creature guess
100,A nasty name.,a nasty name,nasty name
101,"Gollum, maybe? '",gollum maybe,gollum maybe
102,"`Yes, that is what I have feared for some time,' said Frodo.",yes that is what i have feared for some time said frodo,yes feared time said frodo
103,`Ever since the night on the flet.,ever since the night on the flet,ever since night flet
104,"I suppose he was lurking in Moria, and picked up our trail then; but I hoped that our stay in Lórien would throw him off the scent again.",i suppose he was lurking in moria and picked up our trail then but i hoped that our stay in lorien would throw him off the scent again,suppose lurking moria picked trail hoped stay lorien would throw scent
105,"The miserable creature must have been hiding in the woods by the Silverlode, watching us start off! '",the miserable creature must have been hiding in the woods by the silverlode watching us start off,miserable creature must hiding woods silverlode watching us start
106,"`That's about it,' said Sam.",thats about it said sam,thats said sam
107,"`And we'd better be a bit more watchful ourselves, or we'll feel some nasty fingers round our necks one of these nights, if we ever wake up to feel anything.",and wed better be a bit more watchful ourselves or well feel some nasty fingers round our necks one of these nights if we ever wake up to feel anything,wed better bit watchful well feel nasty fingers round necks one nights ever wake feel anything
108,And that's what I was leading up to.,and thats what i was leading up to,thats leading
109,No need to trouble Strider or the others tonight.,no need to trouble strider or the others tonight,need trouble strider others tonight
110,I'll keep watch.,ill keep watch,ill keep watch
111,"I can sleep tomorrow, being no more than luggage in a boat, as you might say.'",i can sleep tomorrow being no more than luggage in a boat as you might say,sleep tomorrow luggage boat might say
112,"`I might,' said Frodo, `and I might say ""luggage with eyes"".",i might said frodo and i might say luggage with eyes,might said frodo might say luggage eyes
113,"You shall watch; but only if you promise to wake me halfway towards morning, if nothing happens before then.'",you shall watch but only if you promise to wake me halfway towards morning if nothing happens before then,shall watch promise wake halfway towards morning nothing happens
114,In the dead hours Frodo came out of a deep dark sleep to find Sam shaking him.,in the dead hours frodo came out of a deep dark sleep to find sam shaking him,dead hours frodo came deep dark sleep find sam shaking
115,"`It's a shame to wake you,' whispered Sam, `but that's what you said.",its a shame to wake you whispered sam but thats what you said,shame wake whispered sam thats said
116,"There's nothing to tell, or not much.",theres nothing to tell or not much,theres nothing tell much
117,"I thought I heard some soft plashing and a sniffing noise, a while back; but you hear a lot of such queer sounds by a river at night.'",i thought i heard some soft plashing and a sniffing noise a while back but you hear a lot of such queer sounds by a river at night,thought heard soft plashing sniffing noise back hear lot queer sounds river night
118,"He lay down, and Frodo sat up, huddled in his blankets, and fought off his sleep.",he lay down and frodo sat up huddled in his blankets and fought off his sleep,lay frodo sat huddled blankets fought sleep
119,"Minutes or hours passed slowly, and nothing happened.",minutes or hours passed slowly and nothing happened,minutes hours passed slowly nothing happened
120,"Frodo was just yielding to the temptation to lie down again when a dark shape, hardly visible, floated close to one of the moored boats.",frodo was just yielding to the temptation to lie down again when a dark shape hardly visible floated close to one of the moored boats,frodo yielding temptation lie dark shape hardly visible floated close one moored boats
121,"A long whitish hand could be dimly seen as it shot out and grabbed the gunwale; two pale lamplike eyes shone coldly as they peered inside, and then they lifted and gazed up at Frodo on the eyot.",a long whitish hand could be dimly seen as it shot out and grabbed the gunwale two pale lamplike eyes shone coldly as they peered inside and then they lifted and gazed up at frodo on the eyot,long whitish hand could dimly seen shot grabbed gunwale two pale lamplike eyes shone coldly peered inside lifted gazed frodo eyot
122,"They were not more than a yard or two away, and Frodo heard the soft hiss of intaken breath.",they were not more than a yard or two away and frodo heard the soft hiss of intaken breath,yard two away frodo heard soft hiss intaken breath
123,"He stood up, drawing Sting from its sheath, and faced the eyes.",he stood up drawing sting from its sheath and faced the eyes,stood drawing sting sheath faced eyes
124,Immediately their light was shut off.,immediately their light was shut off,immediately light shut
125,"There was another hiss and a splash, and the dark log-shape shot away downstream into the night.",there was another hiss and a splash and the dark logshape shot away downstream into the night,another hiss splash dark logshape shot away downstream night
126,"Aragorn stirred in his sleep, turned over, and sat up`
     'What is it? '",aragorn stirred in his sleep turned over and sat up what is it,aragorn stirred sleep turned sat
127,"he whispered, springing up and coming to Frodo.",he whispered springing up and coming to frodo,whispered springing coming frodo
128,`I felt something in my sleep.,i felt something in my sleep,felt something sleep
129,Why have you drawn your sword? ',why have you drawn your sword,drawn sword
130,"`Gollum,' answered Frodo.",gollum answered frodo,gollum answered frodo
131,"'Or at least, so I guess.'",or at least so i guess,least guess
132,`Ah! ',ah,ah
133,said Aragorn.,said aragorn,said aragorn
134,"`So you know about our little footpad, do you?",so you know about our little footpad do you,know little footpad
135,He padded after us all through Moria and right down to Nimrodel.,he padded after us all through moria and right down to nimrodel,padded us moria right nimrodel
136,"Since we took to boats, he has been lying on a log and paddling with hands and feet.",since we took to boats he has been lying on a log and paddling with hands and feet,since took boats lying log paddling hands feet
137,"I have tried to catch him once or twice at night; but he is slier than a fox, and as slippery as a fish.",i have tried to catch him once or twice at night but he is slier than a fox and as slippery as a fish,tried catch twice night slier fox slippery fish
138,"I hoped the river-voyage would beat him, but he is too clever a waterman.",i hoped the rivervoyage would beat him but he is too clever a waterman,hoped rivervoyage would beat clever waterman
139,`We shall have to try going faster tomorrow.,we shall have to try going faster tomorrow,shall try going faster tomorrow
140,"You lie down now, and I will keep watch for what is left of the night.",you lie down now and i will keep watch for what is left of the night,lie keep watch left night
141,I wish I could lay my hands on the wretch.,i wish i could lay my hands on the wretch,wish could lay hands wretch
142,We might make him useful.,we might make him useful,might make useful
143,"But if I cannot, we shall have to try and lose him.",but if i cannot we shall have to try and lose him,shall try lose
144,He is very dangerous.,he is very dangerous,dangerous
145,"Quite apart from murder by night on his own account, he may put any enemy that is about on our track.'",quite apart from murder by night on his own account he may put any enemy that is about on our track,quite apart murder night account may put enemy track
146,The night passed without Gollum showing so much as a shadow again.,the night passed without gollum showing so much as a shadow again,night passed without gollum showing much shadow
147,"After that the Company kept a sharp look-out, but they saw no more of Gollum while the voyage lasted.",after that the company kept a sharp lookout but they saw no more of gollum while the voyage lasted,company kept sharp lookout saw gollum voyage lasted
148,"If he was still following, he was very wary and cunning.",if he was still following he was very wary and cunning,still following wary cunning
149,"At Aragorn's bidding they paddled now for long spells, and the banks went swiftly by.",at aragorns bidding they paddled now for long spells and the banks went swiftly by,aragorns bidding paddled long spells banks went swiftly
150,"But they saw little of the country, for they journeyed mostly by night and twilight, resting by day, and lying as hidden as the land allowed.",but they saw little of the country for they journeyed mostly by night and twilight resting by day and lying as hidden as the land allowed,saw little country journeyed mostly night twilight resting day lying hidden land allowed
151,In this way the time passed without event until the seventh day.,in this way the time passed without event until the seventh day,way time passed without event seventh day
152,"The weather was still grey and overcast, with wind from the East, but as evening drew into night the sky away westward cleared, and pools of faint light, yellow and pale green, opened under the grey shores of cloud.",the weather was still grey and overcast with wind from the east but as evening drew into night the sky away westward cleared and pools of faint light yellow and pale green opened under the grey shores of cloud,weather still grey overcast wind east evening drew night sky away westward cleared pools faint light yellow pale green opened grey shores cloud
153,There the white rind of the new Moon could be seen glimmering in the remote lakes.,there the white rind of the new moon could be seen glimmering in the remote lakes,white rind new moon could seen glimmering remote lakes
154,Sam looked at it and puckered his brows.,sam looked at it and puckered his brows,sam looked puckered brows
155,The next day the country on either side began to change rapidly.,the next day the country on either side began to change rapidly,next day country either side began change rapidly
156,The banks began to rise and grow stony.,the banks began to rise and grow stony,banks began rise grow stony
157,"Soon they were passing through a hilly rocky land, and on both shores there were steep slopes buried in deep brakes of thorn and sloe, tangled with brambles and creepers.",soon they were passing through a hilly rocky land and on both shores there were steep slopes buried in deep brakes of thorn and sloe tangled with brambles and creepers,soon passing hilly rocky land shores steep slopes buried deep brakes thorn sloe tangled brambles creepers
158,"Behind them stood low crumbling cliffs, and chimneys of grey weathered stone dark with ivy; and beyond these again there rose high ridges crowned with wind-writhen firs.",behind them stood low crumbling cliffs and chimneys of grey weathered stone dark with ivy and beyond these again there rose high ridges crowned with windwrithen firs,behind stood low crumbling cliffs chimneys grey weathered stone dark ivy beyond rose high ridges crowned windwrithen firs
159,"They were drawing near to the grey hill-country of the Emyn Muil, the southern march of Wilderland.",they were drawing near to the grey hillcountry of the emyn muil the southern march of wilderland,drawing near grey hillcountry emyn muil southern march wilderland
160,"There were many birds about the cliffs and the rock-chimneys, and all day high in the air flocks of birds had been circling, black against the pale sky.",there were many birds about the cliffs and the rockchimneys and all day high in the air flocks of birds had been circling black against the pale sky,many birds cliffs rockchimneys day high air flocks birds circling black pale sky
161,"As they lay in their camp that day Aragorn watched the flights doubtfully, wondering if Gollum had been doing some mischief and the news of their voyage was now moving in the wilderness.",as they lay in their camp that day aragorn watched the flights doubtfully wondering if gollum had been doing some mischief and the news of their voyage was now moving in the wilderness,lay camp day aragorn watched flights doubtfully wondering gollum mischief news voyage moving wilderness
162,"Later as the sun was setting, and the Company was stirring and getting ready to start again, he descried a dark spot against the fading light: a great bird high and far off, now wheeling, now flying on slowly southwards.",later as the sun was setting and the company was stirring and getting ready to start again he descried a dark spot against the fading light a great bird high and far off now wheeling now flying on slowly southwards,later sun setting company stirring getting ready start descried dark spot fading light great bird high far wheeling flying slowly southwards
163,"'What is that, Legolas? '",what is that legolas,legolas
164,"he asked, pointing to the northern sky.",he asked pointing to the northern sky,asked pointing northern sky
165,"'Is it, as I think.",is it as i think,think
166,an eagle? ',an eagle,eagle
167,'Yes.',yes,yes
168,said Legolas.,said legolas,said legolas
169,"`It is an eagle, a hunting eagle.",it is an eagle a hunting eagle,eagle hunting eagle
170,I wonder what that forebodes.,i wonder what that forebodes,wonder forebodes
171,It is far from the mountains.',it is far from the mountains,far mountains
172,"`We will not start until it is fully dark,' said Aragorn.",we will not start until it is fully dark said aragorn,start fully dark said aragorn
173,The eighth night of their journey came.,the eighth night of their journey came,eighth night journey came
174,It was silent and windless; the grey east wind had passed away.,it was silent and windless the grey east wind had passed away,silent windless grey east wind passed away
175,"The thin crescent of the Moon had fallen early into the pale sunset, but the sky was clear above, and though far away in the South there were great ranges of cloud that still shone faintly, in the West stars glinted bright.",the thin crescent of the moon had fallen early into the pale sunset but the sky was clear above and though far away in the south there were great ranges of cloud that still shone faintly in the west stars glinted bright,thin crescent moon fallen early pale sunset sky clear though far away south great ranges cloud still shone faintly west stars glinted bright
176,`Come! ',come,come
177,said Aragorn.,said aragorn,said aragorn
178,`We will venture one more journey by night.,we will venture one more journey by night,venture one journey night
179,"We are coming to reaches of the River that I do not know well: for I have never journeyed by water in these parts before, not between here and the rapids of Sarn Gebir.",we are coming to reaches of the river that i do not know well for i have never journeyed by water in these parts before not between here and the rapids of sarn gebir,coming reaches river know well never journeyed water parts rapids sarn gebir
180,"But if I am right in my reckoning, those are still many miles ahead.",but if i am right in my reckoning those are still many miles ahead,right reckoning still many miles ahead
181,Still there are dangerous places even before we come there: rocks and stony eyots in the stream.,still there are dangerous places even before we come there rocks and stony eyots in the stream,still dangerous places even come rocks stony eyots stream
182,We must keep a sharp watch and not try to paddle swiftly.',we must keep a sharp watch and not try to paddle swiftly,must keep sharp watch try paddle swiftly
183,To Sam in the leading boat was given the task of watchman.,to sam in the leading boat was given the task of watchman,sam leading boat given task watchman
184,He lay forward peering into the gloom.,he lay forward peering into the gloom,lay forward peering gloom
185,"The night grew dark, but the stars above were strangely bright, and there was a glimmer On the face of the River.",the night grew dark but the stars above were strangely bright and there was a glimmer on the face of the river,night grew dark stars strangely bright glimmer face river
186,"It was close on midnight, and they had been drifting for some while.",it was close on midnight and they had been drifting for some while,close midnight drifting
187,"hardly using the paddles, when suddenly Sam cried out.",hardly using the paddles when suddenly sam cried out,hardly using paddles suddenly sam cried
