sentence_id,sentence,cleaned_sentence,tokens
0,"_
            A Conspiracy Unmasked

     'Now we had better get home ourselves,' said Merry.",a conspiracy unmasked now we had better get home ourselves said merry,conspiracy unmasked better get home said merry
1,"There's something funny about all this, I see; but it must wait till we get in.'",theres something funny about all this i see but it must wait till we get in,theres something funny see must wait till get
2,"They turned down the Ferry lane, which was straight and well-kept and edged with large white-washed stones.",they turned down the ferry lane which was straight and wellkept and edged with large whitewashed stones,turned ferry lane straight wellkept edged large whitewashed stones
3,"In a hundred yards or so it brought them to the river-bank, where there was a broad wooden landing-stage.",in a hundred yards or so it brought them to the riverbank where there was a broad wooden landingstage,hundred yards brought riverbank broad wooden landingstage
4,A large flat ferry-boat was moored beside it.,a large flat ferryboat was moored beside it,large flat ferryboat moored beside
5,The white bollards near the water's edge glimmered in the light of two lamps on high posts.,the white bollards near the waters edge glimmered in the light of two lamps on high posts,white bollards near waters edge glimmered light two lamps high posts
6,"Behind them the mists in the flat fields were now above the hedges; but the water before them was dark, with only a few curling wisps like steam among the reeds by the bank.",behind them the mists in the flat fields were now above the hedges but the water before them was dark with only a few curling wisps like steam among the reeds by the bank,behind mists flat fields hedges water dark curling wisps like steam among reeds bank
7,There seemed to be less fog on the further side.,there seemed to be less fog on the further side,seemed less fog side
8,"Merry led the pony over a gangway on to the ferry, and the others followed.",merry led the pony over a gangway on to the ferry and the others followed,merry led pony gangway ferry others followed
9,Merry then pushed slowly off with a long pole.,merry then pushed slowly off with a long pole,merry pushed slowly long pole
10,The Brandywine flowed slow and broad before them.,the brandywine flowed slow and broad before them,brandywine flowed slow broad
11,"On the other side the bank was steep, and up it a winding path climbed from the further landing.",on the other side the bank was steep and up it a winding path climbed from the further landing,side bank steep winding path climbed landing
12,Lamps were twinkling there.,lamps were twinkling there,lamps twinkling
13,"Behind loomed up the Buck Hill; and out of it, through stray shrouds of mist, shone many round windows, yellow and red.",behind loomed up the buck hill and out of it through stray shrouds of mist shone many round windows yellow and red,behind loomed buck hill stray shrouds mist shone many round windows yellow red
14,"They were the windows of Brandy Hall, the ancient home of the Brandybucks.",they were the windows of brandy hall the ancient home of the brandybucks,windows brandy hall ancient home brandybucks
15,"Long ago Gorhendad Oldbuck, head of the Oldbuck family, one of the oldest in the Marish or indeed in the Shire, had crossed the river, which was the original boundary of the land eastwards.",long ago gorhendad oldbuck head of the oldbuck family one of the oldest in the marish or indeed in the shire had crossed the river which was the original boundary of the land eastwards,long ago gorhendad oldbuck head oldbuck family one oldest marish indeed shire crossed river original boundary land eastwards
16,"He built (and excavated) Brandy Hall, changed his name to Brandybuck, and settled down to become master of what was virtually a small independent country.",he built and excavated brandy hall changed his name to brandybuck and settled down to become master of what was virtually a small independent country,built excavated brandy hall changed name brandybuck settled become master virtually small independent country
17,"His family grew and grew, and after his days continued to grow, until Brandy Hall occupied the whole of the low hill, and had three large front-doors, many side-doors, and about a hundred windows.",his family grew and grew and after his days continued to grow until brandy hall occupied the whole of the low hill and had three large frontdoors many sidedoors and about a hundred windows,family grew grew days continued grow brandy hall occupied whole low hill three large frontdoors many sidedoors hundred windows
18,"The Brandybucks and their numerous dependants then began to burrow, and later to build, all round about.",the brandybucks and their numerous dependants then began to burrow and later to build all round about,brandybucks numerous dependants began burrow later build round
19,"That was the origin of Buckland, a thickly inhabited strip between the river and the Old Forest, a sort of colony from the Shire.",that was the origin of buckland a thickly inhabited strip between the river and the old forest a sort of colony from the shire,origin buckland thickly inhabited strip river old forest sort colony shire
20,"Its chief village was Bucklebury, clustering in the banks and slopes behind Brandy Hall.",its chief village was bucklebury clustering in the banks and slopes behind brandy hall,chief village bucklebury clustering banks slopes behind brandy hall
21,"The people in the Marish were friendly with the Bucklanders, and the authority of the Master of the Hall (as the head of the Brandybuck family was called) was still acknowledged by the farmers between Stock and Rushey.",the people in the marish were friendly with the bucklanders and the authority of the master of the hall as the head of the brandybuck family was called was still acknowledged by the farmers between stock and rushey,people marish friendly bucklanders authority master hall head brandybuck family called still acknowledged farmers stock rushey
22,"But most of the folk of the old Shire regarded the Bucklanders as peculiar, half foreigners as it were.",but most of the folk of the old shire regarded the bucklanders as peculiar half foreigners as it were,folk old shire regarded bucklanders peculiar half foreigners
23,"Though, as a matter of fact, they were not very different from the other hobbits of the Four Farthings.",though as a matter of fact they were not very different from the other hobbits of the four farthings,though matter fact different hobbits four farthings
24,"Except in one point: they were fond of boats, and some of them could swim.",except in one point they were fond of boats and some of them could swim,except one point fond boats could swim
25,Their land was originally unprotected from the East; but on that side they had built a hedge: the High Hay.,their land was originally unprotected from the east but on that side they had built a hedge the high hay,land originally unprotected east side built hedge high hay
26,"It had been planted many generations ago, and was now thick and tail, for it was constantly tended.",it had been planted many generations ago and was now thick and tail for it was constantly tended,planted many generations ago thick tail constantly tended
27,"It ran all the way from Brandywine Bridge, in a big loop curving away from the river, to Haysend (where the Withywindle flowed out of the Forest into the Brandywine): well over twenty miles from end to end.",it ran all the way from brandywine bridge in a big loop curving away from the river to haysend where the withywindle flowed out of the forest into the brandywine well over twenty miles from end to end,ran way brandywine bridge big loop curving away river haysend withywindle flowed forest brandywine well twenty miles end end
28,"But, of course, it was not a complete protection.",but of course it was not a complete protection,course complete protection
29,The Forest drew close to the hedge in many places.,the forest drew close to the hedge in many places,forest drew close hedge many places
30,"The Bucklanders kept their doors locked after dark, and that also was not usual in the Shire.",the bucklanders kept their doors locked after dark and that also was not usual in the shire,bucklanders kept doors locked dark also usual shire
31,The ferry-boat moved slowly across the water.,the ferryboat moved slowly across the water,ferryboat moved slowly across water
32,The Buckland shore drew nearer.,the buckland shore drew nearer,buckland shore drew nearer
33,Sam was the only member of the party who had not been over the river before.,sam was the only member of the party who had not been over the river before,sam member party river
34,"He had a strange feeling as the slow gurgling stream slipped by: his old life lay behind in the mists, dark adventure lay in front.",he had a strange feeling as the slow gurgling stream slipped by his old life lay behind in the mists dark adventure lay in front,strange feeling slow gurgling stream slipped old life lay behind mists dark adventure lay front
35,"He scratched his head, and for a moment had a passing wish that Mr. Frodo could have gone on living quietly at Bag End.",he scratched his head and for a moment had a passing wish that mr frodo could have gone on living quietly at bag end,scratched head moment passing wish mr frodo could gone living quietly bag end
36,The four hobbits stepped off the ferry.,the four hobbits stepped off the ferry,four hobbits stepped ferry
37,"Merry was tying it up, and Pippin was already leading the pony up the path, when Sam (who had been looking back, as if to take farewell of the Shire) said in a hoarse whisper:
     'Look back, Mr. Frodo!",merry was tying it up and pippin was already leading the pony up the path when sam who had been looking back as if to take farewell of the shire said in a hoarse whisper look back mr frodo,merry tying pippin already leading pony path sam looking back take farewell shire said hoarse whisper look back mr frodo
38,Do you see anything?',do you see anything,see anything
39,"On the far stage, under the distant lamps, they could just make out a figure: it looked like a dark black bundle left behind.",on the far stage under the distant lamps they could just make out a figure it looked like a dark black bundle left behind,far stage distant lamps could make figure looked like dark black bundle left behind
40,"But as they looked it seemed to move and sway this way and that, as if searching the ground.",but as they looked it seemed to move and sway this way and that as if searching the ground,looked seemed move sway way searching ground
41,"It then crawled, or went crouching, back into the gloom beyond the lamps.",it then crawled or went crouching back into the gloom beyond the lamps,crawled went crouching back gloom beyond lamps
42,'What in the Shire is that?',what in the shire is that,shire
43,exclaimed Merry.,exclaimed merry,exclaimed merry
44,"'Something that is following us,' said Frodo.",something that is following us said frodo,something following us said frodo
45,'But don't ask any more now!,but dont ask any more now,dont ask
46,Let's get away at once!',lets get away at once,lets get away
47,"They hurried up the path to the top of the bank, but when they looked back the far shore was shrouded in mist, and nothing could be seen.",they hurried up the path to the top of the bank but when they looked back the far shore was shrouded in mist and nothing could be seen,hurried path top bank looked back far shore shrouded mist nothing could seen
48,'Thank goodness you don't keep any boats on the west-bank!',thank goodness you dont keep any boats on the westbank,thank goodness dont keep boats westbank
49,said Frodo.,said frodo,said frodo
50,'Can horses cross the river?',can horses cross the river,horses cross river
51,"'They can go twenty miles north to Brandywine Bridge  or they might swim,' answered Merry.",they can go twenty miles north to brandywine bridge or they might swim answered merry,go twenty miles north brandywine bridge might swim answered merry
52,'Though I never heard of any horse swimming the Brandywine.,though i never heard of any horse swimming the brandywine,though never heard horse swimming brandywine
53,But what have horses to do with it?',but what have horses to do with it,horses
54,I'll tell you later.,ill tell you later,ill tell later
