sentence_id,sentence,cleaned_sentence,tokens
0,"_
            The Bridge of Khazad-dûm

     The Company of the Ring stood silent beside the tomb of Balin.",the bridge of khazaddum the company of the ring stood silent beside the tomb of balin,bridge khazaddum company ring stood silent beside tomb balin
1,"Frodo thought of Bilbo and his long friendship with the dwarf, and of Balin's visit to the Shire long ago.",frodo thought of bilbo and his long friendship with the dwarf and of balins visit to the shire long ago,frodo thought bilbo long friendship dwarf balins visit shire long ago
2,In that dusty chamber in the mountains it seemed a thousand years ago and on the other side of the world.,in that dusty chamber in the mountains it seemed a thousand years ago and on the other side of the world,dusty chamber mountains seemed thousand years ago side world
3,"At length they stirred and looked up, and began to search for anything that would give them tidings of Balin's fate, or show what had become of his folk.",at length they stirred and looked up and began to search for anything that would give them tidings of balins fate or show what had become of his folk,length stirred looked began search anything would give tidings balins fate show become folk
4,"There was another smaller door on the other side of the chamber, under the shaft.",there was another smaller door on the other side of the chamber under the shaft,another smaller door side chamber shaft
5,"By both the doors they could now see that many bones were lying, and among them were broken swords and axe-heads, and cloven shields and helms.",by both the doors they could now see that many bones were lying and among them were broken swords and axeheads and cloven shields and helms,doors could see many bones lying among broken swords axeheads cloven shields helms
6,Some of the swords were crooked: orc-scimitars with blackened blades.,some of the swords were crooked orcscimitars with blackened blades,swords crooked orcscimitars blackened blades
7,"There were many recesses cut in the rock of the walls, and in them were large iron-bound chests of wood.",there were many recesses cut in the rock of the walls and in them were large ironbound chests of wood,many recesses cut rock walls large ironbound chests wood
8,All had been broken and plundered; but beside the shattered lid of one there lay the remains of a book.,all had been broken and plundered but beside the shattered lid of one there lay the remains of a book,broken plundered beside shattered lid one lay remains book
9,"It had been slashed and stabbed and partly burned, and it was so stained with black and other dark marks like old blood that little of it could be read.",it had been slashed and stabbed and partly burned and it was so stained with black and other dark marks like old blood that little of it could be read,slashed stabbed partly burned stained black dark marks like old blood little could read
10,"Gandalf lifted it carefully, but the leaves crackled and broke as he laid it on the slab.",gandalf lifted it carefully but the leaves crackled and broke as he laid it on the slab,gandalf lifted carefully leaves crackled broke laid slab
11,He pored over it for some time without speaking.,he pored over it for some time without speaking,pored time without speaking
12,"Frodo and Gimli standing at his side could see, as he gingerly turned the leaves, that they were written by many different hands, in runes, both of Moria and of Dale, and here and there in Elvish script.",frodo and gimli standing at his side could see as he gingerly turned the leaves that they were written by many different hands in runes both of moria and of dale and here and there in elvish script,frodo gimli standing side could see gingerly turned leaves written many different hands runes moria dale elvish script
13,At last Gandalf looked up.,at last gandalf looked up,last gandalf looked
14,"'It seems to be a record of the fortunes of Balin's folk,' he said.",it seems to be a record of the fortunes of balins folk he said,seems record fortunes balins folk said
15,`I guess that it began with their coming to Dimrill Dale nigh on thirty years ago: the pages seem to have numbers referring to the years after their arrival.,i guess that it began with their coming to dimrill dale nigh on thirty years ago the pages seem to have numbers referring to the years after their arrival,guess began coming dimrill dale nigh thirty years ago pages seem numbers referring years arrival
16,"The top page is marked _one  three_, so at least two are missing from the beginning.",the top page is marked one three so at least two are missing from the beginning,top page marked one three least two missing beginning
17,Listen to this!,listen to this,listen
18,'_We drove out orcs from the great gate and guard_  I think; the next word is blurred and burned; probably _room_  _we slew many in the bright_  I think  _sun in the dale.,we drove out orcs from the great gate and guard i think the next word is blurred and burned probably room we slew many in the bright i think sun in the dale,drove orcs great gate guard think next word blurred burned probably room slew many bright think sun dale
19,Flói was killed by an arrow.,floi was killed by an arrow,floi killed arrow
20,He slew the great_.,he slew the great,slew great
21,Then there is a blur followed by _Flói under grass near Mirror mere_.,then there is a blur followed by floi under grass near mirror mere,blur followed floi grass near mirror mere
22,The next line or two I cannot read.,the next line or two i cannot read,next line two read
23,Then comes _We have taken the twentyfirst hall of North end to dwell in.,then comes we have taken the twentyfirst hall of north end to dwell in,comes taken twentyfirst hall north end dwell
24,There is_I cannot read what.,there isi cannot read what,isi read
25,A _shaft_ is mentioned.,a shaft is mentioned,shaft mentioned
26,Then _Balin has set up his seat in the Chamber of Mazarbul_.',then balin has set up his seat in the chamber of mazarbul,balin set seat chamber mazarbul
27,"'The Chamber of Records,' said Gimli.",the chamber of records said gimli,chamber records said gimli
28,`I guess that is where we now stand.',i guess that is where we now stand,guess stand
29,"`Well, I can read no more for a long way,' said Gandalf, 'except the word _gold_, and _Durin's Axe_ and something _helm_.",well i can read no more for a long way said gandalf except the word gold and durins axe and something helm,well read long way said gandalf except word gold durins axe something helm
30,Then _Balin is now lord of Moria_.,then balin is now lord of moria,balin lord moria
31,That seems to end a chapter.,that seems to end a chapter,seems end chapter
32,"After some stars another hand begins, and I can see _we found truesilver_, and later the word _wellforged_ and then something, I have it!",after some stars another hand begins and i can see we found truesilver and later the word wellforged and then something i have it,stars another hand begins see found truesilver later word wellforged something
33,"_mithril_; and the last two lines _Óin to seek for the upper armouries of Third Deep_, something _go westwards_, a blur,_ to Hollin gate_.'",mithril and the last two lines oin to seek for the upper armouries of third deep something go westwards a blur to hollin gate,mithril last two lines oin seek upper armouries third deep something go westwards blur hollin gate
34,Gandalf paused and set a few leaves aside.,gandalf paused and set a few leaves aside,gandalf paused set leaves aside
35,"'There are several pages of the same sort, rather hastily written and much damaged, he said; `but I can make little of them in this light.",there are several pages of the same sort rather hastily written and much damaged he said but i can make little of them in this light,several pages sort rather hastily written much damaged said make little light
