sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Farewell to Lórien

     That night the Company was again summoned to the chamber of Celeborn, and there the Lord and Lady greeted them with fair words.",farewell to lorien that night the company was again summoned to the chamber of celeborn and there the lord and lady greeted them with fair words,farewell lorien night company summoned chamber celeborn lord lady greeted fair words
1,At length Celeborn spoke of their departure.,at length celeborn spoke of their departure,length celeborn spoke departure
2,"`Now is the time,' he said, `when those who wish to continue the Quest must harden their hearts to leave this land.",now is the time he said when those who wish to continue the quest must harden their hearts to leave this land,time said wish continue quest must harden hearts leave land
3,"Those who no longer wish to go forward may remain here, for a while.",those who no longer wish to go forward may remain here for a while,longer wish go forward may remain
4,"But whether they stay or go, none can be sure of peace.",but whether they stay or go none can be sure of peace,whether stay go none sure peace
5,For we are come now to the edge of doom.,for we are come now to the edge of doom,come edge doom
6,Here those who wish may await the oncoming of the hour till either the ways of the world lie open again.,here those who wish may await the oncoming of the hour till either the ways of the world lie open again,wish may await oncoming hour till either ways world lie open
7,or we summon them to the last need of Lórien.,or we summon them to the last need of lorien,summon last need lorien
8,"Then they may return to their own lands, or else go to the long home of those that fall in battle.'",then they may return to their own lands or else go to the long home of those that fall in battle,may return lands else go long home fall battle
9,There was a silence.,there was a silence,silence
10,"`They all resolved to go forward,' said Galadriel looking in their eyes.",they all resolved to go forward said galadriel looking in their eyes,resolved go forward said galadriel looking eyes
11,"`As for me,' said Boromir, `my way home lies onward and not back.'",as for me said boromir my way home lies onward and not back,said boromir way home lies onward back
12,"`That is true,' said Celeborn, `but is all this Company going with you to Minas Tirith? '",that is true said celeborn but is all this company going with you to minas tirith,true said celeborn company going minas tirith
13,"`We have not decided our course,' said Aragorn.",we have not decided our course said aragorn,decided course said aragorn
14,'Beyond Lothlórien I do not know what Gandalf intended to do.,beyond lothlorien i do not know what gandalf intended to do,beyond lothlorien know gandalf intended
15,Indeed I do not think that even he had any clear purpose.',indeed i do not think that even he had any clear purpose,indeed think even clear purpose
16,"`Maybe not,' said Celeborn, `yet when you leave this land, you can no longer forget the Great River.",maybe not said celeborn yet when you leave this land you can no longer forget the great river,maybe said celeborn yet leave land longer forget great river
17,"As some of you know well, it cannot be crossed by travellers with baggage between Lórien and Gondor, save by boat.",as some of you know well it cannot be crossed by travellers with baggage between lorien and gondor save by boat,know well crossed travellers baggage lorien gondor save boat
18,And are not the bridges of Osgiliath broken down and all the landings held now by the Enemy?,and are not the bridges of osgiliath broken down and all the landings held now by the enemy,bridges osgiliath broken landings held enemy
19,`On which side will you journey?,on which side will you journey,side journey
20,"The way to Minas Tirith lies upon this side, upon the west; but the straight road of the Quest lies east of the River, upon the darker shore.",the way to minas tirith lies upon this side upon the west but the straight road of the quest lies east of the river upon the darker shore,way minas tirith lies upon side upon west straight road quest lies east river upon darker shore
21,Which shore will you now take? ',which shore will you now take,shore take
22,"`If my advice is heeded, it will be the western shore, and the way to Minas Tirith,' answered Boromir.",if my advice is heeded it will be the western shore and the way to minas tirith answered boromir,advice heeded western shore way minas tirith answered boromir
23,`But I am not the leader of the Company.',but i am not the leader of the company,leader company
24,"The others said nothing, and Aragorn looked doubtful and troubled.",the others said nothing and aragorn looked doubtful and troubled,others said nothing aragorn looked doubtful troubled
25,"`I see that you do not yet know what to do,' said Celeborn.",i see that you do not yet know what to do said celeborn,see yet know said celeborn
26,`It is not my part to choose for you; but I will help you as I may.,it is not my part to choose for you but i will help you as i may,part choose help may
27,"There are some among you who can handle boats: Legolas, whose folk know the swift Forest River; and Boromir of Gondor; and Aragorn the traveller.'",there are some among you who can handle boats legolas whose folk know the swift forest river and boromir of gondor and aragorn the traveller,among handle boats legolas whose folk know swift forest river boromir gondor aragorn traveller
28,`And one Hobbit! ',and one hobbit,one hobbit
29,cried Merry.,cried merry,cried merry
30,`Not all of us look on boats as wild horses.,not all of us look on boats as wild horses,us look boats wild horses
31,My people live by the banks of the Brandywine.',my people live by the banks of the brandywine,people live banks brandywine
32,"`That is well,' said Celeborn.",that is well said celeborn,well said celeborn
33,`Then I will furnish your Company with boats.,then i will furnish your company with boats,furnish company boats
34,"They must be small and light, for if you go far by water, there are places where you will be forced to carry them.",they must be small and light for if you go far by water there are places where you will be forced to carry them,must small light go far water places forced carry
