sentence_id,sentence,cleaned_sentence,tokens
0,"_
            A Journey in the Dark

     It was evening, and the grey light was again waning fast, when they halted for the night.",a journey in the dark it was evening and the grey light was again waning fast when they halted for the night,journey dark evening grey light waning fast halted night
1,They were very weary.,they were very weary,weary
2,"The mountains were veiled in deepening dusk, and the wind was cold.",the mountains were veiled in deepening dusk and the wind was cold,mountains veiled deepening dusk wind cold
3,Gandalf spared them one more mouthful each of the miruvor of Rivendell.,gandalf spared them one more mouthful each of the miruvor of rivendell,gandalf spared one mouthful miruvor rivendell
4,When they had eaten some food he called a council.,when they had eaten some food he called a council,eaten food called council
5,"'We cannot, of course, go on again tonight,' he said.",we cannot of course go on again tonight he said,course go tonight said
6,"`The attack on the Redhorn Gate has tired us out, and we must rest here for a while.'",the attack on the redhorn gate has tired us out and we must rest here for a while,attack redhorn gate tired us must rest
7,`And then where are we to go? ',and then where are we to go,go
8,asked Frodo.,asked frodo,asked frodo
9,"'We still have our journey and our errand before us,' answered Gandalf.",we still have our journey and our errand before us answered gandalf,still journey errand us answered gandalf
10,"`We have no choice but to go on, or to return to Rivendell.'",we have no choice but to go on or to return to rivendell,choice go return rivendell
11,Pippin's face brightened visibly at the mere mention of return to Rivendell; Merry and Sam looked up hopefully.,pippins face brightened visibly at the mere mention of return to rivendell merry and sam looked up hopefully,pippins face brightened visibly mere mention return rivendell merry sam looked hopefully
12,But Aragorn and Boromir made no sign.,but aragorn and boromir made no sign,aragorn boromir made sign
13,Frodo looked troubled.,frodo looked troubled,frodo looked troubled
14,"`I wish I was back there,' he said.",i wish i was back there he said,wish back said
15,"`But how can I return without shame  unless there is indeed no other way, and we are already defeated? '",but how can i return without shame unless there is indeed no other way and we are already defeated,return without shame unless indeed way already defeated
16,"`You are right, Frodo,' said Gandalf: `to go back is to admit defeat and face worse defeat to come.",you are right frodo said gandalf to go back is to admit defeat and face worse defeat to come,right frodo said gandalf go back admit defeat face worse defeat come
17,"If we go back now, then the Ring must remain there: we shall not be able to set out again.",if we go back now then the ring must remain there we shall not be able to set out again,go back ring must remain shall able set
18,"Then sooner or later Rivendell will be besieged, and after a brief and bitter time it will be destroyed.",then sooner or later rivendell will be besieged and after a brief and bitter time it will be destroyed,sooner later rivendell besieged brief bitter time destroyed
19,"The Ringwraiths are deadly enemies, but they are only shadows yet of the power and terror they would possess if the Ruling Ring was on their master's hand again.'",the ringwraiths are deadly enemies but they are only shadows yet of the power and terror they would possess if the ruling ring was on their masters hand again,ringwraiths deadly enemies shadows yet power terror would possess ruling ring masters hand
20,"'Then we must go on, if there is a way,' said Frodo with a sigh.",then we must go on if there is a way said frodo with a sigh,must go way said frodo sigh
21,Sam sank back into gloom.,sam sank back into gloom,sam sank back gloom
22,"`There is a way that we may attempt,' said Gandalf.",there is a way that we may attempt said gandalf,way may attempt said gandalf
23,"`I thought from the beginning, when first I considered this journey, that we should try it.",i thought from the beginning when first i considered this journey that we should try it,thought beginning first considered journey try
