sentence_id,sentence,cleaned_sentence,tokens
0,"_
            At the Sign of
 The Prancing Pony_

     Bree was the chief village of the Bree-land, a small inhabited region, like an island in the empty lands round about.",at the sign of the prancing pony bree was the chief village of the breeland a small inhabited region like an island in the empty lands round about,sign prancing pony bree chief village breeland small inhabited region like island empty lands round
1,"Besides Bree itself, there was Staddle on the other side of the hill, Combe in a deep valley a little further eastward, and Archet on the edge of the Chetwood.",besides bree itself there was staddle on the other side of the hill combe in a deep valley a little further eastward and archet on the edge of the chetwood,besides bree staddle side hill combe deep valley little eastward archet edge chetwood
2,Lying round Bree-hill and the villages was a small country of fields and tamed woodland only a few miles broad.,lying round breehill and the villages was a small country of fields and tamed woodland only a few miles broad,lying round breehill villages small country fields tamed woodland miles broad
3,"The Men of Bree were brown-haired, broad, and rather short, cheerful and independent: they belonged to nobody but themselves; but they were more friendly and familiar with Hobbits, Dwarves, Elves, and other inhabitants of the world about them than was (or is) usual with Big People.",the men of bree were brownhaired broad and rather short cheerful and independent they belonged to nobody but themselves but they were more friendly and familiar with hobbits dwarves elves and other inhabitants of the world about them than was or is usual with big people,men bree brownhaired broad rather short cheerful independent belonged nobody friendly familiar hobbits dwarves elves inhabitants world usual big people
4,According to their own tales they were the original inhabitants and were the descendants of the first Men that ever wandered into the West of the middle-world.,according to their own tales they were the original inhabitants and were the descendants of the first men that ever wandered into the west of the middleworld,according tales original inhabitants descendants first men ever wandered west middleworld
5,"Few had survived the turmoils of the Elder Days; but when the Kings returned again over the Great Sea they had found the Bree-men still there, and they were still there now, when the memory of the old Kings had faded into the grass.",few had survived the turmoils of the elder days but when the kings returned again over the great sea they had found the breemen still there and they were still there now when the memory of the old kings had faded into the grass,survived turmoils elder days kings returned great sea found breemen still still memory old kings faded grass
6,"In those days no other Men had settled dwellings so far west, or within a hundred leagues of the Shire.",in those days no other men had settled dwellings so far west or within a hundred leagues of the shire,days men settled dwellings far west within hundred leagues shire
7,But in the wild lands beyond Bree there were mysterious wanderers.,but in the wild lands beyond bree there were mysterious wanderers,wild lands beyond bree mysterious wanderers
8,"The Bree-folk called them Rangers, and knew nothing of their origin.",the breefolk called them rangers and knew nothing of their origin,breefolk called rangers knew nothing origin
9,"They were taller and darker than the Men of Bree and were believed to have strange powers of sight and hearing, and to understand the languages of beasts and birds.",they were taller and darker than the men of bree and were believed to have strange powers of sight and hearing and to understand the languages of beasts and birds,taller darker men bree believed strange powers sight hearing understand languages beasts birds
10,"They roamed at will southwards, and eastwards even as far as the Misty Mountains; but they were now few and rarely seen.",they roamed at will southwards and eastwards even as far as the misty mountains but they were now few and rarely seen,roamed southwards eastwards even far misty mountains rarely seen
11,"When they appeared they brought news from afar, and told strange forgotten tales which were eagerly listened to; but the Bree-folk did not make friends of them.",when they appeared they brought news from afar and told strange forgotten tales which were eagerly listened to but the breefolk did not make friends of them,appeared brought news afar told strange forgotten tales eagerly listened breefolk make friends
12,"There were also many families of hobbits in the Bree-land and _they_claimed to be the oldest settlement of Hobbits in the world, one that was founded long before even the Brandywine was crossed and the Shire colonized.",there were also many families of hobbits in the breeland and theyclaimed to be the oldest settlement of hobbits in the world one that was founded long before even the brandywine was crossed and the shire colonized,also many families hobbits breeland theyclaimed oldest settlement hobbits world one founded long even brandywine crossed shire colonized
13,"They lived mostly in Staddle though there were some in Bree itself, especially on the higher slopes of the hill, above the houses of the Men.",they lived mostly in staddle though there were some in bree itself especially on the higher slopes of the hill above the houses of the men,lived mostly staddle though bree especially higher slopes hill houses men
14,"The Big Folk and the Little Folk (as they called one another) were on friendly terms, minding their own affairs in their own ways, but both rightly regarding themselves as necessary parts of the Bree-folk.",the big folk and the little folk as they called one another were on friendly terms minding their own affairs in their own ways but both rightly regarding themselves as necessary parts of the breefolk,big folk little folk called one another friendly terms minding affairs ways rightly regarding necessary parts breefolk
15,Nowhere else in the world was this peculiar (but excellent) arrangement to be found.,nowhere else in the world was this peculiar but excellent arrangement to be found,nowhere else world peculiar excellent arrangement found
16,"The Bree-folk, Big and Little, did not themselves travel much; and the affairs of the four villages were their chief concern.",the breefolk big and little did not themselves travel much and the affairs of the four villages were their chief concern,breefolk big little travel much affairs four villages chief concern
17,"Occasionally the Hobbits of Bree went as far as Buckland, or the Eastfarthing; but though their link land was not much further than a day's riding east of the Brandywine Bridge, the Hobbits of the Shire now seldom visited it.",occasionally the hobbits of bree went as far as buckland or the eastfarthing but though their link land was not much further than a days riding east of the brandywine bridge the hobbits of the shire now seldom visited it,occasionally hobbits bree went far buckland eastfarthing though link land much days riding east brandywine bridge hobbits shire seldom visited
18,"An occasional Bucklander or adventurous Took would come out to the Inn for a night or two, but even that was becoming less and less usual.",an occasional bucklander or adventurous took would come out to the inn for a night or two but even that was becoming less and less usual,occasional bucklander adventurous took would come inn night two even becoming less less usual
19,"The Shire-hobbits referred to those of Bree, and to any others that lived beyond the borders, as Outsiders, and took very little interest in them, considering them dull and uncouth.",the shirehobbits referred to those of bree and to any others that lived beyond the borders as outsiders and took very little interest in them considering them dull and uncouth,shirehobbits referred bree others lived beyond borders outsiders took little interest considering dull uncouth
20,There were probably many more Outsiders scattered about in the West of the World in those days than the people of the Shire imagined.,there were probably many more outsiders scattered about in the west of the world in those days than the people of the shire imagined,probably many outsiders scattered west world days people shire imagined
21,"Some, doubtless, were no better than tramps, ready to dig a hole in any bank and stay only as long as it suited them.",some doubtless were no better than tramps ready to dig a hole in any bank and stay only as long as it suited them,doubtless better tramps ready dig hole bank stay long suited
22,"But in the Bree-land, at any rate, the hobbits were decent and prosperous, and no more rustic than most of their distant relatives Inside.",but in the breeland at any rate the hobbits were decent and prosperous and no more rustic than most of their distant relatives inside,breeland rate hobbits decent prosperous rustic distant relatives inside
23,It was not yet forgotten that there had been a time when there was much coming and going between the Shire and Bree.,it was not yet forgotten that there had been a time when there was much coming and going between the shire and bree,yet forgotten time much coming going shire bree
24,There was Bree-blood in the Brandybucks by all accounts.,there was breeblood in the brandybucks by all accounts,breeblood brandybucks accounts
25,"The village of Bree had some hundred stone houses of the Big Folk, mostly above the Road, nestling on the hillside with windows looking west.",the village of bree had some hundred stone houses of the big folk mostly above the road nestling on the hillside with windows looking west,village bree hundred stone houses big folk mostly road nestling hillside windows looking west
26,"On that side, running in more than half a circle from the hill and back to it, there was a deep dike with a thick hedge on the inner side.",on that side running in more than half a circle from the hill and back to it there was a deep dike with a thick hedge on the inner side,side running half circle hill back deep dike thick hedge inner side
27,Over this the Road crossed by a causeway; but where it pierced the hedge it was barred by a great gate.,over this the road crossed by a causeway but where it pierced the hedge it was barred by a great gate,road crossed causeway pierced hedge barred great gate
28,There was another gate in the southern comer where the Road ran out of the village.,there was another gate in the southern comer where the road ran out of the village,another gate southern comer road ran village
29,The gates were closed at nightfall; but just inside them were small lodges for the gatekeepers.,the gates were closed at nightfall but just inside them were small lodges for the gatekeepers,gates closed nightfall inside small lodges gatekeepers
30,"Down on the Road, where it swept to the right to go round the foot of the hill, there was a large inn.",down on the road where it swept to the right to go round the foot of the hill there was a large inn,road swept right go round foot hill large inn
31,It had been built long ago when the traffic on the roads had been far greater.,it had been built long ago when the traffic on the roads had been far greater,built long ago traffic roads far greater
32,"For Bree stood at an old meeting of ways; another ancient road crossed the East Road just outside (he dike at the western end of the village, and in former days Men and other folk of various sorts had travelled much on it.",for bree stood at an old meeting of ways another ancient road crossed the east road just outside he dike at the western end of the village and in former days men and other folk of various sorts had travelled much on it,bree stood old meeting ways another ancient road crossed east road outside dike western end village former days men folk various sorts travelled much
33,"_Strange as News from Bree_ was still a saying in the Eastfarthing, descending from those days, when news from North, South, and East could be heard in the inn, and when the Shire-hobbits used to go more often to hear it.",strange as news from bree was still a saying in the eastfarthing descending from those days when news from north south and east could be heard in the inn and when the shirehobbits used to go more often to hear it,strange news bree still saying eastfarthing descending days news north south east could heard inn shirehobbits used go often hear
34,"But the Northern Lands had long been desolate, and the North Road was now seldom used: it was grass-grown, and the Bree-folk called it the Greenway.",but the northern lands had long been desolate and the north road was now seldom used it was grassgrown and the breefolk called it the greenway,northern lands long desolate north road seldom used grassgrown breefolk called greenway
35,"The Inn of Bree was still there, however, and the innkeeper was an important person.",the inn of bree was still there however and the innkeeper was an important person,inn bree still however innkeeper important person
36,"His house was a meeting place for the idle, talkative, and inquisitive among the inhabitants, large and small, of the four villages; and a resort of Rangers and other wanderers, and for such travellers (mostly dwarves) as still journeyed on the East Road, to and from the Mountains.",his house was a meeting place for the idle talkative and inquisitive among the inhabitants large and small of the four villages and a resort of rangers and other wanderers and for such travellers mostly dwarves as still journeyed on the east road to and from the mountains,house meeting place idle talkative inquisitive among inhabitants large small four villages resort rangers wanderers travellers mostly dwarves still journeyed east road mountains
37,"It was dark, and white stars were shining, when Frodo and his companions came at last to the Greenway-crossing and drew near the village.",it was dark and white stars were shining when frodo and his companions came at last to the greenwaycrossing and drew near the village,dark white stars shining frodo companions came last greenwaycrossing drew near village
38,"They came to the West-gate and found it shut, but at the door of the lodge beyond it, there was a man sitting.",they came to the westgate and found it shut but at the door of the lodge beyond it there was a man sitting,came westgate found shut door lodge beyond man sitting
39,He jumped up and fetched a lantern and looked over the gate at them in surprise.,he jumped up and fetched a lantern and looked over the gate at them in surprise,jumped fetched lantern looked gate surprise
40,"'What do you want, and where do you come from?'",what do you want and where do you come from,want come
41,he asked gruffly.,he asked gruffly,asked gruffly
42,"'We are making for the inn here,' answered Frodo.",we are making for the inn here answered frodo,making inn answered frodo
43,'We are journeying east and cannot go further tonight.',we are journeying east and cannot go further tonight,journeying east go tonight
44,'Hobbits!,hobbits,hobbits
45,Four hobbits!,four hobbits,four hobbits
46,"And what's more, out of the Shire by their talk,' said the gatekeeper, softly as if speaking to himself.",and whats more out of the shire by their talk said the gatekeeper softly as if speaking to himself,whats shire talk said gatekeeper softly speaking
47,"He stared at them darkly for a moment, and then slowly opened the gate and let them ride through.",he stared at them darkly for a moment and then slowly opened the gate and let them ride through,stared darkly moment slowly opened gate let ride
48,"'We don't often see Shire-folk riding on the Road at night,' he went on, as they halted a moment by his door.",we dont often see shirefolk riding on the road at night he went on as they halted a moment by his door,dont often see shirefolk riding road night went halted moment door
49,'You'll pardon my wondering what business takes you away east of Bree!,youll pardon my wondering what business takes you away east of bree,youll pardon wondering business takes away east bree
50,"What may your names be, might I ask?'",what may your names be might i ask,may names might ask
51,"'Our names and our business are our own, and this does not seem a good place to discuss them,' said Frodo, not liking the look of the man or the tone of his voice.",our names and our business are our own and this does not seem a good place to discuss them said frodo not liking the look of the man or the tone of his voice,names business seem good place discuss said frodo liking look man tone voice
52,"'Your business is your own, no doubt,' said the man; 'but it's my business to ask questions after nightfall.'",your business is your own no doubt said the man but its my business to ask questions after nightfall,business doubt said man business ask questions nightfall
53,"'We are hobbits from Buckland, and we have a fancy to travel and to stay at the inn here,' put in Merry.",we are hobbits from buckland and we have a fancy to travel and to stay at the inn here put in merry,hobbits buckland fancy travel stay inn put merry
54,'I am Mr. Brandybuck.,i am mr brandybuck,mr brandybuck
55,Is that enough for you?,is that enough for you,enough
56,"The Bree-folk used to be fair-spoken to travellers, or so I had heard.'",the breefolk used to be fairspoken to travellers or so i had heard,breefolk used fairspoken travellers heard
57,"'All right, all right!'",all right all right,right right
58,said the man.,said the man,said man
59,'I meant no offence.,i meant no offence,meant offence
60,But you'll find maybe that more folk than old Harry at the gate will be asking you questions.,but youll find maybe that more folk than old harry at the gate will be asking you questions,youll find maybe folk old harry gate asking questions
61,There's queer folk about.,theres queer folk about,theres queer folk
62,"If you go on to _The Pony,_ you'll find you're oat the only guests.'",if you go on to the pony youll find youre oat the only guests,go pony youll find youre oat guests
63,"He wished them good night, and they said no more; but Frodo could see in the lantern-light that the man was still eyeing them curiously.",he wished them good night and they said no more but frodo could see in the lanternlight that the man was still eyeing them curiously,wished good night said frodo could see lanternlight man still eyeing curiously
64,"He was glad to hear the gate clang to behind them, as they rode forward.",he was glad to hear the gate clang to behind them as they rode forward,glad hear gate clang behind rode forward
65,"He wondered why the man was so suspicious, and whether any one had been asking for _news of_ a party of hobbits.",he wondered why the man was so suspicious and whether any one had been asking for news of a party of hobbits,wondered man suspicious whether one asking news party hobbits
66,Could it have been Gandalf?,could it have been gandalf,could gandalf
67,"He might have arrived, while they were delayed in the Forest and the Downs.",he might have arrived while they were delayed in the forest and the downs,might arrived delayed forest downs
68,But there was something in the look and the voice of the gatekeeper that made him uneasy.,but there was something in the look and the voice of the gatekeeper that made him uneasy,something look voice gatekeeper made uneasy
69,"The man stared after the hobbits for a moment, and then he went back to his house.",the man stared after the hobbits for a moment and then he went back to his house,man stared hobbits moment went back house
70,"As soon as his back was turned, a dark figure climbed quickly in over the gate and melted into the shadows of the village street.",as soon as his back was turned a dark figure climbed quickly in over the gate and melted into the shadows of the village street,soon back turned dark figure climbed quickly gate melted shadows village street
71,"The hobbits rode on up a gentle slope, passing a few detached houses, and drew up outside the inn.",the hobbits rode on up a gentle slope passing a few detached houses and drew up outside the inn,hobbits rode gentle slope passing detached houses drew outside inn
72,The houses looked large and strange to them.,the houses looked large and strange to them,houses looked large strange
73,"Sam stared up at the inn with its three storeys and many windows, and felt his heart sink.",sam stared up at the inn with its three storeys and many windows and felt his heart sink,sam stared inn three storeys many windows felt heart sink
74,"He had imagined himself meeting giants taller than trees, and other creatures even more terrifying, some time or other in the course of his journey; but at the moment he was finding his first sight of Men and their tall houses quite enough, indeed too much for the dark end of a tiring day.",he had imagined himself meeting giants taller than trees and other creatures even more terrifying some time or other in the course of his journey but at the moment he was finding his first sight of men and their tall houses quite enough indeed too much for the dark end of a tiring day,imagined meeting giants taller trees creatures even terrifying time course journey moment finding first sight men tall houses quite enough indeed much dark end tiring day
75,"He pictured black horses standing all saddled in the shadows of the inn-yard, and Black Riders peering out of dark upper windows.",he pictured black horses standing all saddled in the shadows of the innyard and black riders peering out of dark upper windows,pictured black horses standing saddled shadows innyard black riders peering dark upper windows
76,"'We surely aren't going to stay here for the night, are we, sir?'",we surely arent going to stay here for the night are we sir,surely arent going stay night sir
77,he exclaimed.,he exclaimed,exclaimed
78,"'If there are hobbit-folk in these pans, why don't we look for some that would be willing to take us in?",if there are hobbitfolk in these pans why dont we look for some that would be willing to take us in,hobbitfolk pans dont look would willing take us
79,It would be more homelike.',it would be more homelike,would homelike
80,'What's wrong with the inn?',whats wrong with the inn,whats wrong inn
81,said Frodo.,said frodo,said frodo
82,'Tom Bombadil recommended it.,tom bombadil recommended it,tom bombadil recommended
83,I expect it's homelike enough inside.',i expect its homelike enough inside,expect homelike enough inside
84,Even from the outside the inn looked a pleasant house to familiar eyes.,even from the outside the inn looked a pleasant house to familiar eyes,even outside inn looked pleasant house familiar eyes
85,"It had a front on the Road, and two wings running back on land partly cut out of the lower slopes of the hill, so that at the rear the second-floor windows were level with the ground.",it had a front on the road and two wings running back on land partly cut out of the lower slopes of the hill so that at the rear the secondfloor windows were level with the ground,front road two wings running back land partly cut lower slopes hill rear secondfloor windows level ground
86,"There was a wide arch leading to a courtyard between the two wings, and on the left under the arch there was a large doorway reached by a few broad steps.",there was a wide arch leading to a courtyard between the two wings and on the left under the arch there was a large doorway reached by a few broad steps,wide arch leading courtyard two wings left arch large doorway reached broad steps
87,The door was open and light streamed out of it.,the door was open and light streamed out of it,door open light streamed
88,"Above the arch there was a lamp, and beneath it swung a large signboard: a fat white pony reared up on its hind legs.",above the arch there was a lamp and beneath it swung a large signboard a fat white pony reared up on its hind legs,arch lamp beneath swung large signboard fat white pony reared hind legs
89,Over the door was painted in white letters: THE PRANCING PONY by BARLIMAN BUTTERBUR.,over the door was painted in white letters the prancing pony by barliman butterbur,door painted white letters prancing pony barliman butterbur
90,Many of the lower windows showed lights behind thick curtains.,many of the lower windows showed lights behind thick curtains,many lower windows showed lights behind thick curtains
91,"As they hesitated outside in the gloom, someone began singing a merry song inside, and many cheerful voices joined loudly in the chorus.",as they hesitated outside in the gloom someone began singing a merry song inside and many cheerful voices joined loudly in the chorus,hesitated outside gloom someone began singing merry song inside many cheerful voices joined loudly chorus
92,They listened to this encouraging sound for a moment and then got off their ponies.,they listened to this encouraging sound for a moment and then got off their ponies,listened encouraging sound moment got ponies
