sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Strider

     Frodo, Pippin, and Sam made their way back to the parlour.",strider frodo pippin and sam made their way back to the parlour,strider frodo pippin sam made way back parlour
1,There was no light.,there was no light,light
2,"Merry was not there, and the fire had burned low.",merry was not there and the fire had burned low,merry fire burned low
3,It was not until they had puffed up the embers into a blaze and thrown on a couple of faggots that they discovered Strider had come with them.,it was not until they had puffed up the embers into a blaze and thrown on a couple of faggots that they discovered strider had come with them,puffed embers blaze thrown couple faggots discovered strider come
4,There he was calmly sitting in a chair by the door!,there he was calmly sitting in a chair by the door,calmly sitting chair door
5,'Hallo!',hallo,hallo
6,said Pippin.,said pippin,said pippin
7,"'Who are you, and what do you want?'",who are you and what do you want,want
8,"'I am called Strider,' he answered: 'and though he may have forgotten it, your friend promised to have a quiet talk with me.'",i am called strider he answered and though he may have forgotten it your friend promised to have a quiet talk with me,called strider answered though may forgotten friend promised quiet talk
9,"'You said I might hear something to my advantage, I believe,' said Frodo.",you said i might hear something to my advantage i believe said frodo,said might hear something advantage believe said frodo
10,'What have you to say?',what have you to say,say
11,"'Several things,' answered Strider.",several things answered strider,several things answered strider
12,"'But, of course, I have my price.'",but of course i have my price,course price
13,'What do you mean?',what do you mean,mean
14,asked Frodo sharply.,asked frodo sharply,asked frodo sharply
15,'Don't be alarmed!,dont be alarmed,dont alarmed
16,"I mean just this: I will tell you what I know, and give you some good advice  but I shall want a reward.'",i mean just this i will tell you what i know and give you some good advice but i shall want a reward,mean tell know give good advice shall want reward
17,"'And what will that be, pray?'",and what will that be pray,pray
18,said Frodo.,said frodo,said frodo
19,"He suspected now that he had fallen in with a rascal, and he thought uncomfortably that he had brought only a little money with him.",he suspected now that he had fallen in with a rascal and he thought uncomfortably that he had brought only a little money with him,suspected fallen rascal thought uncomfortably brought little money
20,"All of it would hardly satisfy a rogue, and he could not spare any of it.",all of it would hardly satisfy a rogue and he could not spare any of it,would hardly satisfy rogue could spare
21,"'No more than you can afford,' answered Strider with a slow smile, as if he guessed Frodo's thoughts.",no more than you can afford answered strider with a slow smile as if he guessed frodos thoughts,afford answered strider slow smile guessed frodos thoughts
22,"'Just this: you must take me along with you, until I wish to leave you.'",just this you must take me along with you until i wish to leave you,must take along wish leave
23,"'Oh, indeed!'",oh indeed,oh indeed
24,"replied Frodo, surprised, but not much relieved.",replied frodo surprised but not much relieved,replied frodo surprised much relieved
25,"'Even if I wanted another companion, I should not agree to any such thing, until I knew a good deal more about you, and your business.'",even if i wanted another companion i should not agree to any such thing until i knew a good deal more about you and your business,even wanted another companion agree thing knew good deal business
26,'Excellent!',excellent,excellent
27,"exclaimed Strider, crossing his legs and sitting back comfortably.",exclaimed strider crossing his legs and sitting back comfortably,exclaimed strider crossing legs sitting back comfortably
28,"'You seem to be coming to your senses again, and that is all to the good.",you seem to be coming to your senses again and that is all to the good,seem coming senses good
29,You have been much too careless so far.,you have been much too careless so far,much careless far
30,Very well!,very well,well
31,"I will tell you what I know, and leave the reward to you.",i will tell you what i know and leave the reward to you,tell know leave reward
32,"You may be glad to grant it, when you have heard me.'",you may be glad to grant it when you have heard me,may glad grant heard
