sentence_id,sentence,cleaned_sentence,tokens
0,"_
            A Long-expected Party

     When Mr. Bilbo Baggins of Bag End announced that he would shortly be celebrating his eleventy-first birthday with a party of special magnificence, there was much talk and excitement in Hobbiton.",a longexpected party when mr bilbo baggins of bag end announced that he would shortly be celebrating his eleventyfirst birthday with a party of special magnificence there was much talk and excitement in hobbiton,longexpected party mr bilbo baggins bag end announced would shortly celebrating eleventyfirst birthday party special magnificence much talk excitement hobbiton
1,"Bilbo was very rich and very peculiar, and had been the wonder of the Shire for sixty years, ever since his remarkable disappearance and unexpected return.",bilbo was very rich and very peculiar and had been the wonder of the shire for sixty years ever since his remarkable disappearance and unexpected return,bilbo rich peculiar wonder shire sixty years ever since remarkable disappearance unexpected return
2,"The riches he had brought back from his travels had now become a local legend, and it was popularly believed, whatever the old folk might say, that the Hill at Bag End was full of tunnels stuffed with treasure.",the riches he had brought back from his travels had now become a local legend and it was popularly believed whatever the old folk might say that the hill at bag end was full of tunnels stuffed with treasure,riches brought back travels become local legend popularly believed whatever old folk might say hill bag end full tunnels stuffed treasure
3,"And if that was not enough for fame, there was also his prolonged vigour to marvel at.",and if that was not enough for fame there was also his prolonged vigour to marvel at,enough fame also prolonged vigour marvel
4,"Time wore on, but it seemed to have little effect on Mr. Baggins.",time wore on but it seemed to have little effect on mr baggins,time wore seemed little effect mr baggins
5,At ninety he was much the same as at fifty.,at ninety he was much the same as at fifty,ninety much fifty
6,"At ninety-nine they began to call him _well_-preserved, but _unchanged_ would have been nearer the mark.",at ninetynine they began to call him wellpreserved but unchanged would have been nearer the mark,ninetynine began call wellpreserved unchanged would nearer mark
7,There were some that shook their heads and thought this was too much of a good thing; it seemed unfair that anyone should possess (apparently) perpetual youth as well as (reputedly) inexhaustible wealth.,there were some that shook their heads and thought this was too much of a good thing it seemed unfair that anyone should possess apparently perpetual youth as well as reputedly inexhaustible wealth,shook heads thought much good thing seemed unfair anyone possess apparently perpetual youth well reputedly inexhaustible wealth
8,"'It will have to be paid for,' they said.",it will have to be paid for they said,paid said
9,"'It isn't natural, and trouble will come of it!'",it isnt natural and trouble will come of it,isnt natural trouble come
10,"But so far trouble had not come; and as Mr. Baggins was generous with his money, most people were willing to forgive him his oddities and his good fortune.",but so far trouble had not come and as mr baggins was generous with his money most people were willing to forgive him his oddities and his good fortune,far trouble come mr baggins generous money people willing forgive oddities good fortune
11,"He remained on visiting terms with his relatives (except, of course, the Sackville-Bagginses), and he had many devoted admirers among the hobbits of poor and unimportant families.",he remained on visiting terms with his relatives except of course the sackvillebagginses and he had many devoted admirers among the hobbits of poor and unimportant families,remained visiting terms relatives except course sackvillebagginses many devoted admirers among hobbits poor unimportant families
12,"But he had no close friends, until some of his younger cousins began to grow up.",but he had no close friends until some of his younger cousins began to grow up,close friends younger cousins began grow
13,"The eldest of these, and Bilbo's favourite, was young Frodo Baggins.",the eldest of these and bilbos favourite was young frodo baggins,eldest bilbos favourite young frodo baggins
14,"When Bilbo was ninety-nine, he adopted Frodo as his heir, and brought him to live at Bag End; and the hopes of the Sackville-Bagginses were finally dashed.",when bilbo was ninetynine he adopted frodo as his heir and brought him to live at bag end and the hopes of the sackvillebagginses were finally dashed,bilbo ninetynine adopted frodo heir brought live bag end hopes sackvillebagginses finally dashed
15,"Bilbo and Frodo happened to have the same birthday, September 22nd.",bilbo and frodo happened to have the same birthday september nd,bilbo frodo happened birthday september nd
16,"'You had better come and live here, Frodo my lad,' said Bilbo one day; 'and then we can celebrate our birthday-parties comfortably together.'",you had better come and live here frodo my lad said bilbo one day and then we can celebrate our birthdayparties comfortably together,better come live frodo lad said bilbo one day celebrate birthdayparties comfortably together
17,"At that time Frodo was still in his _tweens,_ as the hobbits called the irresponsible twenties between childhood and coming of age at thirty-three.",at that time frodo was still in his tweens as the hobbits called the irresponsible twenties between childhood and coming of age at thirtythree,time frodo still tweens hobbits called irresponsible twenties childhood coming age thirtythree
18,Twelve more years passed.,twelve more years passed,twelve years passed
19,Each year the Bagginses had given very lively combined birthday-parties at Bag End; but now it was understood that something quite exceptional was being planned for that autumn.,each year the bagginses had given very lively combined birthdayparties at bag end but now it was understood that something quite exceptional was being planned for that autumn,year bagginses given lively combined birthdayparties bag end understood something quite exceptional planned autumn
20,"Bilbo was going to be _eleventy-one,_ 111, a rather curious number and a very respectable age for a hobbit (the Old Took himself had only reached 130); and Frodo was going to be _thirty-three,_ 33) an important number: the date of his 'coming of age'.",bilbo was going to be eleventyone a rather curious number and a very respectable age for a hobbit the old took himself had only reached and frodo was going to be thirtythree an important number the date of his coming of age,bilbo going eleventyone rather curious number respectable age hobbit old took reached frodo going thirtythree important number date coming age
21,Tongues began to wag in Hobbiton and Bywater; and rumour of the coming event travelled all over the Shire.,tongues began to wag in hobbiton and bywater and rumour of the coming event travelled all over the shire,tongues began wag hobbiton bywater rumour coming event travelled shire
22,The history and character of Mr. Bilbo Baggins became once again the chief topic of conversation; and the older folk suddenly found their reminiscences in welcome demand.,the history and character of mr bilbo baggins became once again the chief topic of conversation and the older folk suddenly found their reminiscences in welcome demand,history character mr bilbo baggins became chief topic conversation older folk suddenly found reminiscences welcome demand
23,"No one had a more attentive audience than old Ham Gamgee, commonly known as the Gaffer.",no one had a more attentive audience than old ham gamgee commonly known as the gaffer,one attentive audience old ham gamgee commonly known gaffer
24,"He held forth at _The Ivy Bush_, a small inn on the Bywater road; and he spoke with some authority, for he had tended the garden at Bag End for forty years, and had helped old Holman in the same job before that.",he held forth at the ivy bush a small inn on the bywater road and he spoke with some authority for he had tended the garden at bag end for forty years and had helped old holman in the same job before that,held forth ivy bush small inn bywater road spoke authority tended garden bag end forty years helped old holman job
25,"Now that he was himself growing old and stiff in the joints, the job was mainly carried on by his youngest son, Sam Gamgee.",now that he was himself growing old and stiff in the joints the job was mainly carried on by his youngest son sam gamgee,growing old stiff joints job mainly carried youngest son sam gamgee
26,Both father and son were on very friendly terms with Bilbo and Frodo.,both father and son were on very friendly terms with bilbo and frodo,father son friendly terms bilbo frodo
27,"They lived on the Hill itself, in Number 3 Bagshot Row just below Bag End.",they lived on the hill itself in number bagshot row just below bag end,lived hill number bagshot row bag end
28,"'A very nice well-spoken gentlehobbit is Mr. Bilbo, as I've always said,' the Gaffer declared.",a very nice wellspoken gentlehobbit is mr bilbo as ive always said the gaffer declared,nice wellspoken gentlehobbit mr bilbo ive always said gaffer declared
29,"With perfect truth: for Bilbo was very polite to him, calling him 'Master Hamfast', and consulting him constantly upon the growing of vegetables  in the matter of 'roots', especially potatoes, the Gaffer was recognized as the leading authority by all in the neighbourhood (including himself).",with perfect truth for bilbo was very polite to him calling him master hamfast and consulting him constantly upon the growing of vegetables in the matter of roots especially potatoes the gaffer was recognized as the leading authority by all in the neighbourhood including himself,perfect truth bilbo polite calling master hamfast consulting constantly upon growing vegetables matter roots especially potatoes gaffer recognized leading authority neighbourhood including
30,'But what about this Frodo that lives with him?',but what about this frodo that lives with him,frodo lives
31,asked Old Noakes of Bywater.,asked old noakes of bywater,asked old noakes bywater
32,"'Baggins is his name, but he's more than half a Brandybuck, they say.",baggins is his name but hes more than half a brandybuck they say,baggins name hes half brandybuck say
33,"It beats me why any Baggins of Hobbiton should go looking for a wife away there in Buckland, where folks are so queer.'",it beats me why any baggins of hobbiton should go looking for a wife away there in buckland where folks are so queer,beats baggins hobbiton go looking wife away buckland folks queer
34,"'And no wonder they're queer,' put in Daddy Twofoot (the Gaffer's next-door neighbour), 'if they live on the wrong side of the Brandywine River, and right agin the Old Forest.",and no wonder theyre queer put in daddy twofoot the gaffers nextdoor neighbour if they live on the wrong side of the brandywine river and right agin the old forest,wonder theyre queer put daddy twofoot gaffers nextdoor neighbour live wrong side brandywine river right agin old forest
35,"That's a dark bad place, if half the tales be true.'",thats a dark bad place if half the tales be true,thats dark bad place half tales true
36,"'You're right, Dad!'",youre right dad,youre right dad
37,said the Gaffer.,said the gaffer,said gaffer
38,"'Not that the Brandybucks of Buck-land live _in_ the Old Forest; but they're a queer breed, seemingly.",not that the brandybucks of buckland live in the old forest but theyre a queer breed seemingly,brandybucks buckland live old forest theyre queer breed seemingly
39,They fool about with boats on that big river  and that isn't natural.,they fool about with boats on that big river and that isnt natural,fool boats big river isnt natural
40,"Small wonder that trouble came of it, I say.",small wonder that trouble came of it i say,small wonder trouble came say
41,"But be that as it may, Mr. Frodo is as nice a young hobbit as you could wish to meet.",but be that as it may mr frodo is as nice a young hobbit as you could wish to meet,may mr frodo nice young hobbit could wish meet
42,"Very much like Mr. Bilbo, and in more than looks.",very much like mr bilbo and in more than looks,much like mr bilbo looks
43,After all his father was a Baggins.,after all his father was a baggins,father baggins
44,"A decent respectable hobbit was Mr. Drogo Baggins; there was never much to tell of him, till he was drownded.'",a decent respectable hobbit was mr drogo baggins there was never much to tell of him till he was drownded,decent respectable hobbit mr drogo baggins never much tell till drownded
45,'Drownded?',drownded,drownded
46,said several voices.,said several voices,said several voices
47,"They had heard this and other darker rumours before, of course; but hobbits have a passion for family history, and they were ready to hear it again.",they had heard this and other darker rumours before of course but hobbits have a passion for family history and they were ready to hear it again,heard darker rumours course hobbits passion family history ready hear
48,"'Well, so they say,' said the Gaffer.",well so they say said the gaffer,well say said gaffer
49,"'You see: Mr. Drogo, he married poor Miss Primula Brandybuck.",you see mr drogo he married poor miss primula brandybuck,see mr drogo married poor miss primula brandybuck
50,She was our Mr. Bilbo's first cousin on the mother's side (her mother being the youngest of the Old Took's daughters); and Mr. Drogo was his second cousin.,she was our mr bilbos first cousin on the mothers side her mother being the youngest of the old tooks daughters and mr drogo was his second cousin,mr bilbos first cousin mothers side mother youngest old tooks daughters mr drogo second cousin
51,"So Mr. Frodo is his first _and_ second cousin, once removed either way, as the saying is, if you follow me.",so mr frodo is his first and second cousin once removed either way as the saying is if you follow me,mr frodo first second cousin removed either way saying follow
52,"And Mr. Drogo was staying at Brandy Hall with his father-in-law, old Master Gorbadoc, as he often did after his marriage (him being partial to his vittles, and old Gorbadoc keeping a mighty generous table); and he went out _boating_on the Brandywine River; and he and his wife were drownded, and poor Mr. Frodo only a child and all. '",and mr drogo was staying at brandy hall with his fatherinlaw old master gorbadoc as he often did after his marriage him being partial to his vittles and old gorbadoc keeping a mighty generous table and he went out boatingon the brandywine river and he and his wife were drownded and poor mr frodo only a child and all,mr drogo staying brandy hall fatherinlaw old master gorbadoc often marriage partial vittles old gorbadoc keeping mighty generous table went boatingon brandywine river wife drownded poor mr frodo child
53,"'I've heard they went on the water after dinner in the moonlight,' said Old Noakes; 'and it was Drogo's weight as sunk the boat.'",ive heard they went on the water after dinner in the moonlight said old noakes and it was drogos weight as sunk the boat,ive heard went water dinner moonlight said old noakes drogos weight sunk boat
54,"'And _I_ heard she pushed him in, and he pulled her in after him,' said Sandyman, the Hobbiton miller.",and i heard she pushed him in and he pulled her in after him said sandyman the hobbiton miller,heard pushed pulled said sandyman hobbiton miller
55,"'You shouldn't listen to all you hear, Sandyman,' said the Gaffer, who did not much like the miller.",you shouldnt listen to all you hear sandyman said the gaffer who did not much like the miller,shouldnt listen hear sandyman said gaffer much like miller
56,'There isn't no call to go talking of pushing and pulling.,there isnt no call to go talking of pushing and pulling,isnt call go talking pushing pulling
57,Boats are quite tricky enough for those that sit still without looking further for the cause of trouble.,boats are quite tricky enough for those that sit still without looking further for the cause of trouble,boats quite tricky enough sit still without looking cause trouble
58,"Anyway: there was this Mr. Frodo left an orphan and stranded, as you might say, among those queer Bucklanders, being brought up anyhow in Brandy Hall.",anyway there was this mr frodo left an orphan and stranded as you might say among those queer bucklanders being brought up anyhow in brandy hall,anyway mr frodo left orphan stranded might say among queer bucklanders brought anyhow brandy hall
