sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Fog on the Barrow-Downs

     That night they heard no noises.",fog on the barrowdowns that night they heard no noises,fog barrowdowns night heard noises
1,"But either in his dreams or out of them, he could not tell which, Frodo heard a sweet singing running in his mind; a song that seemed to come like a pale light behind a grey rain-curtain, and growing stronger to turn the veil all to glass and silver, until at last it was rolled back, and a far green country opened before him under a swift sunrise.",but either in his dreams or out of them he could not tell which frodo heard a sweet singing running in his mind a song that seemed to come like a pale light behind a grey raincurtain and growing stronger to turn the veil all to glass and silver until at last it was rolled back and a far green country opened before him under a swift sunrise,either dreams could tell frodo heard sweet singing running mind song seemed come like pale light behind grey raincurtain growing stronger turn veil glass silver last rolled back far green country opened swift sunrise
2,The vision melted into waking; and there was Tom whistling like a tree-full of birds; and the sun was already slanting down the hill and through the open window.,the vision melted into waking and there was tom whistling like a treefull of birds and the sun was already slanting down the hill and through the open window,vision melted waking tom whistling like treefull birds sun already slanting hill open window
3,Outside everything was green and pale gold.,outside everything was green and pale gold,outside everything green pale gold
4,"After breakfast, which they again ate alone, they made ready to say farewell, as nearly heavy of heart as was possible on such a morning: cool, bright, and clean under a washed autumn sky of thin blue.",after breakfast which they again ate alone they made ready to say farewell as nearly heavy of heart as was possible on such a morning cool bright and clean under a washed autumn sky of thin blue,breakfast ate alone made ready say farewell nearly heavy heart possible morning cool bright clean washed autumn sky thin blue
5,The air came fresh from the North-west.,the air came fresh from the northwest,air came fresh northwest
6,"Their quiet ponies were almost frisky, sniffing and moving restlessly.",their quiet ponies were almost frisky sniffing and moving restlessly,quiet ponies almost frisky sniffing moving restlessly
7,"Tom came out of the house and waved his hat and danced upon the doorstep, bidding the hobbits to get up and be off and go with good speed.",tom came out of the house and waved his hat and danced upon the doorstep bidding the hobbits to get up and be off and go with good speed,tom came house waved hat danced upon doorstep bidding hobbits get go good speed
8,"They rode off along a path that wound away from behind the house, and went slanting up towards the north end of the hill-brow under which it sheltered.",they rode off along a path that wound away from behind the house and went slanting up towards the north end of the hillbrow under which it sheltered,rode along path wound away behind house went slanting towards north end hillbrow sheltered
9,"They had just dismounted to lead their ponies up the last steep slope, when suddenly Frodo stopped.",they had just dismounted to lead their ponies up the last steep slope when suddenly frodo stopped,dismounted lead ponies last steep slope suddenly frodo stopped
10,'Goldberry!',goldberry,goldberry
11,he cried.,he cried,cried
12,"'My fair lady, clad all in silver green!",my fair lady clad all in silver green,fair lady clad silver green
13,"We have never said farewell to her, nor seen her since the evening!'",we have never said farewell to her nor seen her since the evening,never said farewell seen since evening
14,He was so distressed that he turned back; but at that moment a clear call came rippling down.,he was so distressed that he turned back but at that moment a clear call came rippling down,distressed turned back moment clear call came rippling
