sentence_id,sentence,cleaned_sentence,tokens
0,"_
            A Short Cut to Mushrooms

     In the morning Frodo woke refreshed.",a short cut to mushrooms in the morning frodo woke refreshed,short cut mushrooms morning frodo woke refreshed
1,"He was lying in a bower made by a living tree with branches laced and drooping to the ground; his bed was of fern and grass, deep and soft and strangely fragrant.",he was lying in a bower made by a living tree with branches laced and drooping to the ground his bed was of fern and grass deep and soft and strangely fragrant,lying bower made living tree branches laced drooping ground bed fern grass deep soft strangely fragrant
2,"The sun was shining through the fluttering leaves, which were still green upon the tree.",the sun was shining through the fluttering leaves which were still green upon the tree,sun shining fluttering leaves still green upon tree
3,He jumped up and went out.,he jumped up and went out,jumped went
4,Sam was sitting on the grass near the edge of the wood.,sam was sitting on the grass near the edge of the wood,sam sitting grass near edge wood
5,Pippin was standing studying the sky and weather.,pippin was standing studying the sky and weather,pippin standing studying sky weather
6,There was no sign of the Elves.,there was no sign of the elves,sign elves
7,"'They have left us fruit and drink, and bread,' said Pippin.",they have left us fruit and drink and bread said pippin,left us fruit drink bread said pippin
8,'Come and have your breakfast.,come and have your breakfast,come breakfast
9,The bread tastes almost as good as it did last night.,the bread tastes almost as good as it did last night,bread tastes almost good last night
10,"I did not want to leave you any, but Sam insisted.'",i did not want to leave you any but sam insisted,want leave sam insisted
11,Frodo sat down beside Sam and began to eat.,frodo sat down beside sam and began to eat,frodo sat beside sam began eat
12,'What is the plan for today?',what is the plan for today,plan today
13,asked Pippin.,asked pippin,asked pippin
14,"'To walk to Bucklebury as quickly as possible,' answered Frodo, and gave his attention to the food.",to walk to bucklebury as quickly as possible answered frodo and gave his attention to the food,walk bucklebury quickly possible answered frodo gave attention food
15,'Do you think we shall see anything of those Riders?',do you think we shall see anything of those riders,think shall see anything riders
16,asked Pippin cheerfully.,asked pippin cheerfully,asked pippin cheerfully
17,Under the morning sun the prospect of seeing a whole troop of them did not seem very alarming to him.,under the morning sun the prospect of seeing a whole troop of them did not seem very alarming to him,morning sun prospect seeing whole troop seem alarming
18,"'Yes, probably,' said Frodo, not liking the reminder.",yes probably said frodo not liking the reminder,yes probably said frodo liking reminder
19,'But I hope to get across the river without their seeing us.',but i hope to get across the river without their seeing us,hope get across river without seeing us
20,'Did you find out anything about them from Gildor?',did you find out anything about them from gildor,find anything gildor
21,"'Not much  only hints and riddles,' said Frodo evasively.",not much only hints and riddles said frodo evasively,much hints riddles said frodo evasively
22,'Did you ask about the sniffing?',did you ask about the sniffing,ask sniffing
23,"'We didn't discuss it,' said Frodo with his mouth full.",we didnt discuss it said frodo with his mouth full,didnt discuss said frodo mouth full
24,'You should have.,you should have,
25,I am sure it is very important.',i am sure it is very important,sure important
26,"'In that case I am sure Gildor would have refused to explain it,' said Frodo sharply.",in that case i am sure gildor would have refused to explain it said frodo sharply,case sure gildor would refused explain said frodo sharply
27,'And now leave me in peace for a bit!,and now leave me in peace for a bit,leave peace bit
28,I don't want to answer a string of questions while I am eating.,i dont want to answer a string of questions while i am eating,dont want answer string questions eating
29,I want to think!',i want to think,want think
30,'Good heavens!',good heavens,good heavens
31,said Pippin.,said pippin,said pippin
32,'At breakfast?',at breakfast,breakfast
33,He walked away towards the edge of the green.,he walked away towards the edge of the green,walked away towards edge green
34,"From Frodo's mind the bright morning  treacherously bright, he thought  had not banished the fear of pursuit; and he pondered the words of Gildor.",from frodos mind the bright morning treacherously bright he thought had not banished the fear of pursuit and he pondered the words of gildor,frodos mind bright morning treacherously bright thought banished fear pursuit pondered words gildor
35,The merry voice of Pippin came to him.,the merry voice of pippin came to him,merry voice pippin came
36,He was running on the green turf and singing.,he was running on the green turf and singing,running green turf singing
37,'No!,no,
38,I could not!',i could not,could
39,he said to himself.,he said to himself,said
40,"'It is one thing to take my young friends walking over the Shire with me, until we are hungry and weary, and food and bed are sweet.",it is one thing to take my young friends walking over the shire with me until we are hungry and weary and food and bed are sweet,one thing take young friends walking shire hungry weary food bed sweet
41,"To take them into exile, where hunger and weariness may have no cure, is quite another  even if they are willing to come.",to take them into exile where hunger and weariness may have no cure is quite another even if they are willing to come,take exile hunger weariness may cure quite another even willing come
42,The inheritance is mine alone.,the inheritance is mine alone,inheritance mine alone
43,I don't think I ought even to take Sam.',i dont think i ought even to take sam,dont think ought even take sam
44,"He looked at Sam Gamgee, and discovered that Sam was watching him.",he looked at sam gamgee and discovered that sam was watching him,looked sam gamgee discovered sam watching
45,"'Well, Sam!'",well sam,well sam
46,he said.,he said,said
47,'What about it?,what about it,
48,"I am leaving the Shire as soon as ever I can  in fact I have made up my mind now not even to wait a day at Crickhollow, if it can be helped.'",i am leaving the shire as soon as ever i can in fact i have made up my mind now not even to wait a day at crickhollow if it can be helped,leaving shire soon ever fact made mind even wait day crickhollow helped
49,"'Very good, sir!'",very good sir,good sir
50,'You still mean to come with me?',you still mean to come with me,still mean come
51,'I do.',i do,
52,"'It is going to be very dangerous, Sam.",it is going to be very dangerous sam,going dangerous sam
53,'It is already dangerous.,it is already dangerous,already dangerous
54,Most likely neither of us will come back.',most likely neither of us will come back,likely neither us come back
55,"'If you don't come back, sir, then I shan't, that's certain,' said Sam.",if you dont come back sir then i shant thats certain said sam,dont come back sir shant thats certain said sam
56,_'Don't you leave him!_ they said to me.,dont you leave him they said to me,dont leave said
57,_Leave him!_ I said.,leave him i said,leave said
58,_I never mean to.,i never mean to,never mean
59,"I am going with him, if he climbs to the Moon, and if any of those Black Rulers try to stop him, they'll have Sam Gamgee to reckon with,_ I said.",i am going with him if he climbs to the moon and if any of those black rulers try to stop him theyll have sam gamgee to reckon with i said,going climbs moon black rulers try stop theyll sam gamgee reckon said
60,They laughed.',they laughed,laughed
61,"'Who are _they,_ and what are you talking about?'",who are they and what are you talking about,talking
62,"'The Elves, sir.",the elves sir,elves sir
63,"We had some talk last night; and they seemed to know you were going away, so I didn't see the use of denying it.",we had some talk last night and they seemed to know you were going away so i didnt see the use of denying it,talk last night seemed know going away didnt see use denying
64,"Wonderful folk, Elves, sir!",wonderful folk elves sir,wonderful folk elves sir
65,Wonderful!',wonderful,wonderful
66,"'They are,' said Frodo.",they are said frodo,said frodo
67,"'Do you like them still, now you have had a closer view?'",do you like them still now you have had a closer view,like still closer view
68,"'They seem a bit above my likes and dislikes, so to speak,' answered Sam slowly.",they seem a bit above my likes and dislikes so to speak answered sam slowly,seem bit likes dislikes speak answered sam slowly
69,'It don't seem to matter what I think about them.,it dont seem to matter what i think about them,dont seem matter think
70,"They are quite different from what I expected  so old and young, and so gay and sad, as it were.'",they are quite different from what i expected so old and young and so gay and sad as it were,quite different expected old young gay sad
71,"Frodo looked at Sam rather startled, half expecting to see some outward sign of the odd change that seemed to have come over him.",frodo looked at sam rather startled half expecting to see some outward sign of the odd change that seemed to have come over him,frodo looked sam rather startled half expecting see outward sign odd change seemed come
72,It did not sound like the voice of the old Sam Gamgee that he thought he knew.,it did not sound like the voice of the old sam gamgee that he thought he knew,sound like voice old sam gamgee thought knew
73,"But it looked like the old Sam Gamgee sitting there, except that his face was unusually thoughtful.",but it looked like the old sam gamgee sitting there except that his face was unusually thoughtful,looked like old sam gamgee sitting except face unusually thoughtful
74,'Do you feel any need to leave the Shire now  now that your wish to see them has come true already?',do you feel any need to leave the shire now now that your wish to see them has come true already,feel need leave shire wish see come true already
75,he asked.,he asked,asked
76,"'Yes, sir.",yes sir,yes sir
77,"I don't know how to say it, but after last night I feel different.",i dont know how to say it but after last night i feel different,dont know say last night feel different
78,"I seem to see ahead, in a kind of way.",i seem to see ahead in a kind of way,seem see ahead kind way
79,"I know we are going to take a very long road, into darkness; but I know I can't turn back.",i know we are going to take a very long road into darkness but i know i cant turn back,know going take long road darkness know cant turn back
80,"It isn't to see Elves now, nor dragons, nor mountains, that I want  I don't rightly know what I want: but I have something to do before the end, and it lies ahead, not in the Shire.",it isnt to see elves now nor dragons nor mountains that i want i dont rightly know what i want but i have something to do before the end and it lies ahead not in the shire,isnt see elves dragons mountains want dont rightly know want something end lies ahead shire
81,"I must see it through, sir, if you understand me.'",i must see it through sir if you understand me,must see sir understand
82,'I don't altogether.,i dont altogether,dont altogether
83,But I understand that Gandalf chose me a good companion.,but i understand that gandalf chose me a good companion,understand gandalf chose good companion
84,I am content.,i am content,content
