sentence_id,sentence
526,Bilbo smiled and laughed happily.
527,"Every item of news from the Shire that Frodo could tell-aided and corrected now and again by Sam-was of the greatest interest to him, from the felling of the least tree to the pranks of the smallest child in Hobbiton."
528,They were so deep in the doings of the Four Farthings that they did not notice the arrival of a man clad in dark green cloth.
529,For many minutes he stood looking down at them with a smile.
530,Suddenly Bilbo looked up.
531,"'Ah, there you are at last, Dúnadan!'"
532,he cried.
533,`Strider!'
534,said Frodo.
535,`You seem to have a lot of names.'
536,"`Well, _Strider_ is one that I haven't heard before, anyway,' said Bilbo."
537,`What do you call him that for?'
538,"`They call me that in Bree,' said Strider laughing, 'and that is how I was introduced to him.'"
539,`And why do you call him Dúnadan?'
540,asked Frodo.
541,"`_The_ Dúnadan,' said Bilbo."
542,`He is often called that here.
543,"But I thought you knew enough Elvish at least to know _dún-udan_: Man of the West, Númenorean."
544,But this is not the time for lessons!'
545,He turned to Strider.
546,"`Where have you been, my friend?"
547,Why weren't you at the feast?
548,The Lady Arwen was there.'
549,Strider looked down at Bilbo gravely.
550,"`I know,' he said."
551,'But often I must put mirth aside.
552,"Elladan and Elrohir have returned out of the Wild unlooked-for, and they had tidings that I wished to hear at once.'"
553,"`Well, my dear fellow,' said Bilbo, `now you've heard the news, can't you spare me a moment?"
554,I want your help in something urgent.
555,"Elrond says this song of mine is to be finished before the end of the evening, and I am stuck."
556,Let's go off into a corner and polish it up!'
557,Strider smiled.
558,`Come then!'
559,he said.
560,`Let me hear it!'
561,Frodo was left to himself for a while.
562,for Sam had fallen asleep.
563,He was alone and felt rather forlorn` although all about him the folk of Rivendell were gathered.
564,"But those near him were silent, intent upon the music of the voices and the instruments."
565,and they gave no heed to anything else.
566,Frodo began to listen.
567,"At first the beauty of the melodies and of the interwoven words in elven-tongues, even though he understood them little` held him in a spell, as soon as he began to attend to them."
568,"Almost it seemed that the words took shape, and visions of far lands and bright things that he had never yet imagined opened out before him; and the firelit hall became like a golden mist above seas of foam that sighed upon the margins of the world."
569,"Then the enchantment became more and more dreamlike, until he felt that an endless river of swelling gold and silver was flowing over him, too multitudinous for its pattern to be comprehended; it became part of the throbbing air about him, and it drenched and drowned him."
570,Swiftly he sank under its shining weight into a deep realm of sleep.
571,"There he wandered long in a dream of music that turned into running water, and then suddenly into a voice."
572,It seemed to be the voice of Bilbo chanting verses.
573,Faint at first and then clearer ran the words.
574,"Eärendil was a mariner
           that tarried in Arvernien;
           he built a boat of timber felled
           in Nimbrethil to journey in;
           her sails he wove of silver fair,
           of silver were her lanterns made,
           her prow was fashioned like a swan,
           and light upon her banners laid."
575,"In panoply of ancient kings,
           in chainéd rings he armoured him;
           his shining shield was scored with runes
           to ward all wounds and harm from him;
           his bow was made of dragon-horn,
           his arrows shorn of ebony,
           of silver was his habergeon,
           his scabbard of chalcedony;
           his sword of steel was valiant,
           of adamant his helmet tall,
           an eagle-plume upon his crest,
           upon his breast an emerald."
576,"Beneath the Moon and under star
           he wandered far from northern strands,
           bewildered on enchanted ways
           beyond the days of mortal lands."
577,"From gnashing of the Narrow Ice
           where shadow lies on frozen hills,
           from nether heats and burning waste
           he turned in haste, and roving still
           on starless waters far astray
           at last he came to Night of Naught,
           and passed, and never sight he saw
           of shining shore nor light he sought."
578,"The winds of wrath came driving him,
           and blindly in the foam he fled
           from west to east and errandless,
           unheralded he homeward sped."
579,"There flying Elwing came to him,
           and flame was in the darkness lit;
           more bright than light of diamond
           the fire upon her carcanet."
580,"The Silmaril she bound on him
           and crowned him with the living light
           and dauntless then with burning brow
           he turned his prow; and in the night
           from Otherworld beyond the Sea
           there strong and free a storm arose,
           a wind of power in Tarmenel;
           by paths that seldom mortal goes
           his boat it bore with biting breath
           as might of death across the grey
           and long-forsaken seas distressed:
           from east to west he passed away."
581,"Through Evernight he back was borne
           on black and roaring waves that ran
           o'er leagues unlit and foundered shores
           that drowned before the Days began,
           until he heard on strands of pearl
           when ends the world the music long,
           where ever foaming billows roll
           the yellow gold and jewels wan."
582,"He saw the Mountain silent rise
           where twilight lies upon the knees
           of Valinor, and Eldamar
           beheld afar beyond the seas."
583,"A wanderer escaped from night
           to haven white he came at last,
           to Elvenhome the green and fair
           where keen the air, where pale as glass
           beneath the Hill of Ilmarin
           a-glimmer in a valley sheer
           the lamplit towers of Tirion
           are mirrored on the Shadowmere."
584,"He tarried there from errantry,
           and melodies they taught to him,
           and sages old him marvels told,
           and harps of gold they brought to him."
585,"They clothed him then in elven-white,
           and seven lights before him sent,
           as through the Calacirian
           to hidden land forlorn he went."
586,"He came unto the timeless halls
           where shining fall the countless years,
           and endless reigns theElder King
           in Ilmarin on Mountain sheer;
           and words unheard were spoken then
           of folk of Men and Elven-kin,
           beyond the world were visions showed
           forbid to those that dwell therein."
587,"A ship then new they built for him
           of mithril and of elven-glass
           with shining prow; no shaven oar
           nor sail she bore on silver mast:
           the Silmaril as lantern light
           and banner bright with living flame
           to gleam thereon by Elbereth
           herself was set, who thither came
           and wings immortal made for him,
           and laid on him undying doom,
           to sail the shoreless skies and come
           behind the Sun and light of Moon."
588,"From Evereven's lofty hills
           where softly silver fountains fall
           his wings him bore, a wandering light,
           beyond the mighty Mountain Wall."
589,"From World's End then he turned away
           and yearned again to find afar
           his home through shadows journeying,
           and burning as an island star
           on high above the mists he came,
           a distant flame before the Sun,
           a wonder ere the waking dawn
           where grey the Norland waters run."
590,"And over Middle-earth he passed
           and heard at last the weeping sore
           of women and of elven-maids
           in Elder Days, in years of yore."
591,"gut on him mighty doom was laid,
           till Moon should fade, an orbéd star
           to pass, and tarry never more
           on Hither Shores where mortals are;
           for ever still a herald on
           an errand that should never rest
           to bear his shining lamp afar,
           the Flammifer of Westernesse."
592,The chanting ceased.
593,"Frodo opened his eyes and saw that Bilbo was seated on his stool in a circle of listeners, who were smiling and applauding."
594,"`Now we had better have it again,' said an Elf."
595,Bilbo got up and bowed.
596,"`I am flattered, Lindir,' he said."
597,'But it would be too tiring to repeat it all.'
598,"'Not too tiring for you,' the Elves answered laughing."
599,'You know you are never tired of reciting your own verses.
600,But really we cannot answer your question at one hearing!'
601,`What!'
602,cried Bilbo.
603,"'You can't tell which parts were mine, and which were the Dúnadan's?'"
604,'It is not easy for us to tell the difference between two mortals' said the Elf.
605,"'Nonsense, Lindir,' snorted Bilbo."
606,"'If you can't distinguish between a Man and a Hobbit, your judgement is poorer than I imagined."
607,They're as different as peas and apples.'
608,'Maybe.
609,"To sheep other sheep no doubt appear different,' laughed Lindir."
610,`Or to shepherds.
611,But Mortals have not been our study.
612,We have other business.'
613,"'I won't argue with you,' said Bilbo."
614,'I am sleepy after so much music and singing.
615,"I'll leave you to guess, if you want to.'"
616,He got up and came towards Frodo.
617,"'Well, that's over,' he said in a low voice."
618,`It went off better than I expected.
619,I don't often get asked for a second hearing.
620,What did you think of it?'
621,"`I am not going to try and guess,' said Frodo smiling."
622,"`You needn't,' said Bilbo."
623,`As a matter of fact it was all mine.
624,Except that Aragorn insisted on my putting in a green stone.
625,He seemed to think it important.
626,I don't know why.
627,"Otherwise he obviously thought the whole thing rather above my head, and he said that if I had the cheek to make verses about Eärendil in the house of Elrond, it was my affair."
628,I suppose he was right.'
629,"'I don't know,' said Frodo."
630,"`It seemed to me to fit somehow, though I can't explain."
631,"I was half asleep when you began, and it seemed to follow on from something that I was dreaming about."
632,I didn't understand that it was really you speaking until near the end.'
633,"`It _is_ difficult to keep awake here, until you get used to it;' said Bilbo."
634,'Not that hobbits would ever acquire quite the elvish appetite for music and poetry and tales.
635,"They seem to like them as much as food, or more."
636,They will be going on for a long time yet.
637,What do you say to slipping off for some more quiet talk?'
638,`Can we?'
639,said Frodo.
640,`Of course.
641,This is merrymaking not business.
642,"Come and go as you like, as long as you don't make a noise.'"
643,"They got up and withdrew quietly into the shadows, and made for the doors."
644,"Sam they left behind, fast asleep still with a smile on his face."
645,In spite of his delight in Bilbo's company Frodo felt a tug of regret as they passed out of the Hall of Fire.
646,Even as they stepped over the threshold a single clear voice rose in song.
647,"A Elbereth Gilthoniel,
           silivren penna míriel
           o menel aglar elenath!"
648,"Na-chaered palan-díriel
           o galadhremmin ennorath,
           Fanuilos, le linnathon
           nef aear, sí nef aearon!"
649,"Frodo halted for a moment, looking back."
650,Elrond was in his chair and the fire was on his face like summer-light upon the trees.
651,Near him sat the Lady Arwen.
652,"To his surprise Frodo saw that Aragorn stood beside her; his dark cloak was thrown back, and he seemed to be clad in elven-mail, and a star shone on his breast."
653,"They spoke together, and then suddenly it seemed to Frodo that Arwen turned towards him, and the light of her eyes fell on him from afar and pierced his heart."
654,"He stood still enchanted, while the sweet syllables of the elvish song fell like clear jewels of blended word and melody."
655,"`It is a song to Elbereth,' said Bilbo."
656,"`They will sing that, and other songs of the Blessed Realm, many times tonight."
657,Come on!'
658,He led Frodo back to his own little room.
659,It opened on to the gar dens and looked south across the ravine of the Bruinen.
660,"There they sat for some while, looking through the window at the bright stars above the steep-climbing woods, and talking softly."
661,"They spoke no more of the small news of the Shire far away, nor of the dark shadows and perils that encompassed them, but of the fair things they had seen in the world together, of the Elves, of the stars, of trees, and the gentle fall of the bright year in the woods."
662,At last there came a knock on the door.
663,"`Begging your pardon,' said Sam, putting in his head, `but I was just wondering if you would be wanting anything.'"
664,"`And begging yours, Sam Gamgee,' replied Bilbo."
665,`I guess you mean that it is time your master went to bed.'
666,"`Well, sir, there is a Council early tomorrow, I hear and he only got up today for the first time.'"
667,"`Quite right, Sam,' laughed Bilbo."
668,`You can trot off and tell Gandalf that he has gone to bed.
669,"Good night, Frodo!"
670,"Bless me, but it has been good to see you again!"
671,There are no folk like hobbits after all for a real good talk.
672,"I am getting very old, and I began to wonder if I should ever live to see your chapters of our story."
673,Good night!
674,"I'll take a walk, I think, and look at the stars of Elbereth in the garden."
675,Sleep well!'
676,_
