sentence_id,sentence
144,`What were the Riders trying to do?'
145,'They tried to pierce your heart with a Morgul-knife which remains in the wound.
146,"If they had succeeded, you would have become like they are, only weaker and under their command."
147,"You would have became a wraith under the dominion of the Dark Lord; and he would have tormented you for trying to keep his Ring, if any greater torment were possible than being robbed of it and seeing it on his hand.'"
148,'Thank goodness I did not realize the horrible danger!'
149,said Frodo faintly.
150,"I was mortally afraid, of course; but if I had known more, I should not have dared even to move."
151,It is a marvel that I escaped!'
152,"'Yes, fortune or fate have helped you,' said Gandalf, `not to mention courage."
153,"For your heart was not touched, and only your shoulder was pierced; and that was because you resisted to the last."
154,"But it was a terribly narrow shave, so to speak."
155,"You were in gravest peril while you wore the Ring, for then you were half in the wraith-world yourself, and they might have seized you."
156,"You could see them, and they could see you.'"
157,"`I know,' said Frodo."
158,`They were terrible to behold!
159,But why could we all see their horses?'
160,`Because they are real horses; just as the black robes are real robes that they wear to give shape to their nothingness when they have dealings with the living.'
161,`Then why do these black horses endure such riders?
162,"All other animals are terrified when they draw near, even the elf-horse of Glorfindel."
163,The dogs howl and the geese scream at them.'
164,`Because these horses are born and bred to the service of the Dark Lord in Mordor.
165,Not all his servants and chattels are wraiths!
166,"There are orcs and trolls, there are wargs and werewolves; and there have been and still are many Men, warriors and kings, that walk alive under the Sun, and yet are under his sway."
167,And their number is growing daily.'
168,`What about Rivendell and the Elves?
169,Is Rivendell safe?'
170,"`Yes, at present, until all else is conquered."
171,"The Elves may fear the Dark Lord, and they may fly before him, but never again will they listen to him or serve him."
172,"And here in Rivendell there live still some of his chief foes: the Elven-wise, lords of the Eldar from beyond the furthest seas."
173,"They do not fear the Ringwraiths, for those who have dwelt in the Blessed Realm live at once in both worlds, and against both the Seen and the Unseen they have great power.'"
174,'I thought that I saw a white figure that shone and did not grow dim like the others.
175,Was that Glorfindel then?'
176,"'Yes, you saw him for a moment as he is upon the other side: one of the mighty of the Firstborn."
177,He is an Elf-lord of a house of princes.
178,"Indeed there is a power in Rivendell to withstand the might of Mordor, for a while: and elsewhere other powers still dwell."
179,"There is power, too, of another kind in the Shire."
180,"But all such places will soon become islands under siege, if things go on as they are going."
181,The Dark Lord is putting forth all his strength.
