word1,word2,MI_score
day,set,1.8637768956168053
let,go,1.8594475672929534
said,bid,1.8587762145584374
gondor,city,1.852486987870579
faramir,cried,1.845040333035218
rohan,come,1.8362645566060607
frodo,ring,1.8343543250544023
last,end,1.8320103845861002
aragorn,ride,1.8320103845861002
well,say,1.822040913265898
say,say,1.8203312211350688
saw,light,1.8157247662106624
must,hope,1.8081509203971464
come,ill,1.8061567347091003
going,see,1.801939530698288
thing,would,1.7938226195647111
frodo,get,1.7937123405570556
yes,frodo,1.7863328101914568
passed,gate,1.7855967477519403
sam,nothing,1.785216173107159
know,aragorn,1.7699494164538496
got,sam,1.7654897682631496
know,know,1.7628132351722208
said,sure,1.7618144846713495
well,going,1.757349379674217
black,cried,1.7548425240636405
heard,seemed,1.7533529059231547
gandalf,beregond,1.752249098342613
saw,night,1.7474839048978428
saw,white,1.7474839048978428
would,done,1.747280033627682
great,host,1.746112961938671
far,thought,1.7451541713185499
frodo,rose,1.7433806650069084
come,us,1.7354413371946862
upon,head,1.733540030676176
ride,shall,1.7307270487489195
denethor,may,1.7307270487489195
could,speak,1.72864606072938
dark,shadow,1.72864606072938
sat,upon,1.7261905749406292
wish,would,1.7245599571275978
water,sam,1.722421046371263
across,great,1.7218200486367277
came,door,1.7171267467017497
way,gate,1.7102497000645744
mr,well,1.7058190790341357
though,may,1.6964954139296218
right,sam,1.695948835010073
may,come,1.6952522470789866
road,way,1.6949403099491551
fear,may,1.6945068608361655
good,last,1.6895064238985267
sam,felt,1.6739225286800732
rose,like,1.6683443736154704
said,cotton,1.6649529454187615
frodo,going,1.660324925279351
may,shall,1.656726467305143
may,yet,1.6528415389001676
away,towards,1.6449248319856054
sam,mr,1.64441853436999
come,soon,1.6411679996695696
aragorn,eomer,1.639365306643704
eomer,aragorn,1.639365306643704
gondor,king,1.6392198027817297
cried,king,1.6366164426030156
much,must,1.6360901746108443
eomer,lord,1.6328224607769322
frodo,got,1.6323493526181654
faramir,gandalf,1.6258718125730578
mr,see,1.6248783479743452
said,ive,1.6243109609214148
youre,said,1.6243109609214148
hour,come,1.6180843865565304
looked,seemed,1.6113102225580533
faramir,must,1.6088421121737397
suddenly,like,1.6056086182675102
could,find,1.6049106923071363
sam,gave,1.5946654991728906
back,soon,1.5863060646350533
lord,gondor,1.58028426676319
eyes,hand,1.5783746767545566
gandalf,pippin,1.5747738232904211
mithrandir,said,1.5736848878514493
towards,pippin,1.5689759787523077
king,city,1.568375581290196
night,king,1.5683755812901943
mr,go,1.5634985389864227
come,let,1.5591906975029595
gandalf,days,1.5577003099314783
men,house,1.5563007480825153
frodo,took,1.5555526033622922
meriadoc,said,1.5539216330300167
even,hope,1.5524960449289509
said,want,1.5503103794776383
though,still,1.547865190850537
went,land,1.547754232801882
sam,get,1.5398296330927916
upon,upon,1.5368481196710775
may,hope,1.5365545010599302
said,gandalf,1.5344254574042218
walls,could,1.534207700963936
stood,black,1.5340611526331802
