word,frequency
window,21
precious,21
cut,21
muttered,21
woods,21
anything,21
busy,21
ask,21
meriadoc,21
hall,21
isnt,21
lying,21
deadly,21
waiting,21
lies,21
true,21
pity,21
sams,21
sons,21
leagues,21
morgul,21
galadriel,21
drink,21
growing,21
escape,21
dol,21
frodos,21
hardly,21
guessed,21
mouth,21
gates,21
crept,21
late,20
warden,20
grief,20
seem,20
whats,20
blow,20
helm,20
drawn,20
deal,20
third,20
sure,20
enemies,20
cloud,20
nearly,20
bridge,20
sign,20
clouds,20
quick,20
anyway,20
terrible,20
greater,20
needed,20
ten,20
gollum,20
foul,20
flame,20
raised,20
force,20
northward,20
leaves,20
tried,20
errand,20
drawing,20
heads,20
bree,19
lights,19
ships,19
shut,19
purpose,19
outside,19
madness,19
wrath,19
borne,19
ship,19
dread,19
weapons,19
wrought,19
stroke,19
swords,19
thee,19
sudden,19
edoras,19
alive,19
praise,19
shook,19
garden,19
ending,19
aloud,19
breast,19
bad,19
whole,19
halfling,19
steel,19
gear,19
hideous,19
floor,19
spoken,19
stared,19
weve,18
gold,18
learn,18
torches,18
dunharrow,18
butterbur,18
osgiliath,18
hours,18
order,18
try,18
depart,18
dwelt,18
afraid,18
youve,18
talk,18
western,18
servants,18
court,18
everything,18
sit,18
flying,18
whose,18
desperate,18
bywater,18
hither,18
ahead,18
built,18
table,18
entered,18
farmer,18
fighting,18
gazed,18
kill,18
leaped,18
front,18
thrust,18
rang,18
really,18
forget,18
vanished,17
pony,17
aware,17
bid,17
sad,17
tired,17
slept,17
names,17
speech,17
didnt,17
passage,17
watched,17
aid,17
tales,17
eat,17
windows,17
defence,17
dunedain,17
edge,17
changed,17
awake,17
labour,17
mine,17
point,17
shone,17
elves,17
amid,17
quickly,17
cirith,17
assault,17
climbing,17
reach,17
knees,17
beast,17
duty,17
slain,17
started,17
whatever,17
wings,17
behold,17
rolled,17
hung,17
enter,17
except,17
roads,17
main,17
grim,16
allowed,16
lit,16
naught,16
sting,16
mounted,16
shot,16
hoped,16
companions,16
dwarf,16
change,16
orthanc,16
army,16
wound,16
bergil,16
isengard,16
dying,16
wore,16
soft,16
sweet,16
grow,16
gaffer,16
thou,16
trumpets,16
waited,16
gleam,16
learned,16
rain,16
thither,16
moon,16
eastern,16
middleearth,16
slow,16
step,16
companies,16
wormtongue,16
street,16
dernhelm,16
hobbiton,16
wept,16
sang,16
weariness,16
rivendell,16
shield,16
healed,16
quiet,16
rate,16
noise,16
ought,16
safe,16
chance,16
burn,15
orders,15
nearer,15
weight,15
race,15
dare,15
women,15
getting,15
straight,15
ears,15
blade,15
beasts,15
mile,15
lines,15
fought,15
foe,15
seeing,15
loud,15
talking,15
speaking,15
hungry,15
thoughts,15
noon,15
halbarad,15
thy,15
ancient,15
mist,15
outer,15
moved,15
welcome,15
gleamed,15
brother,15
winding,15
task,15
singing,15
steps,15
listen,15
gently,15
lotho,15
dawn,15
secret,15
star,15
keeping,15
stream,14
surprise,14
ease,14
remembered,14
dismay,14
treebeard,14
hearing,14
sank,14
brink,14
asleep,14
stern,14
smiled,14
hide,14
northern,14
village,14
bare,14
sing,14
baraddur,14
ways,14
stricken,14
bade,14
shouted,14
carry,14
neck,14
ioreth,14
endure,14
guards,14
wake,14
covered,14
vain,14
trust,14
seldom,14
whether,14
cries,14
leader,14
therefore,14
mindolluin,14
thank,14
rumour,14
shoulders,14
begin,14
wished,14
cover,14
horror,14
dwell,14
fool,14
slaves,14
comfort,14
wisdom,14
sick,13
blessed,13
fortune,13
talked,13
marched,13
chair,13
children,13
mail,13
crossed,13
brow,13
songs,13
saying,13
knife,13
arrow,13
departed,13
broad,13
tomorrow,13
beautiful,13
second,13
hundreds,13
showed,13
prepared,13
heir,13
present,13
leading,13
sheer,13
driven,13
circle,13
faint,13
dust,13
andros,13
streets,13
show,13
ah,13
iron,13
stair,13
stepped,13
deem,13
believe,13
theyre,13
burst,13
sorrow,13
steep,13
lo,13
later,13
slopes,13
shining,13
messenger,13
lebennin,13
spear,13
walking,13
hiding,13
grown,13
lads,13
thousands,13
hosts,13
strider,13
stirred,13
renown,13
loved,13
quietly,13
luck,13
sharkey,13
malice,13
shirriffs,13
flowed,13
begun,13
accursed,13
stony,13
search,13
token,13
threw,13
lives,12
dangerous,12
blowing,12
tongue,12
nights,12
blue,12
lad,12
early,12
older,12
middle,12
parted,12
remain,12
mood,12
mantle,12
pack,12
read,12
heed,12
cruel,12
fast,12
glare,12
expected,12
rule,12
abroad,12
drums,12
space,12
happened,12
count,12
reckon,12
rosie,12
waters,12
fit,12
beat,12
kissed,12
cair,12
onset,12
glory,12
valour,12
suppose,12
withered,12
choose,12
wrong,12
ungol,12
winged,12
lived,12
dared,12
likely,12
bodies,12
calling,12
mount,12
joined,12
arose,12
wanted,12
wise,12
masters,12
creature,12
blackness,12
isildur,12
southward,12
loomed,12
storm,12
sooner,12
nonetheless,12
trying,12
bill,12
fro,12
truth,12
retreat,12
shapes,11
wounded,11
fifty,11
fail,11
parting,11
din,11
laboured,11
stumbled,11
chill,11
touch,11
surely,11
morgai,11
worn,11
anyone,11
matter,11
crawled,11
nigh,11
eorl,11
stretched,11
tended,11
murmured,11
snowmane,11
thousand,11
flowers,11
thinking,11
beer,11
start,11
chain,11
loss,11
soldier,11
watchers,11
evidently,11
household,11
finger,11
twice,11
drove,11
roused,11
gamgee,11
seek,11
charge,11
fords,11
distance,11
paces,11
flung,11
oh,11
matters,11
sunlight,11
hair,11
distant,11
saved,11
worm,11
wear,11
top,11
spears,11
listening,11
single,11
labours,11
roof,11
marching,11
southwards,11
elessar,11
utterly,11
greatest,11
seat,11
ruined,11
carved,10
grievous,10
effort,10
brief,10
slope,10
spared,10
range,10
torment,10
wasnt,10
havent,10
danger,10
havens,10
holding,10
figure,10
climb,10
sides,10
leaf,10
forces,10
beggar,10
lossarnach,10
ye,10
hot,10
fine,10
flames,10
today,10
valiant,10
harad,10
council,10
match,10
killed,10
forgetting,10
strike,10
lose,10
lore,10
tents,10
crack,10
opening,10
barrier,10
pressed,10
spread,10
happening,10
ringing,10
lane,10
locked,10
banners,10
case,10
topmost,10
steadily,10
hurried,10
torch,10
carven,10
serve,10
vision,10
become,10
daughter,10
shout,10
thunder,10
glittering,10
bold,10
view,10
crossroads,10
six,10
snow,10
esquire,10
ordered,10
gift,10
clutching,10
break,10
claim,10
dike,10
struggled,10
drank,10
anorien,10
hopes,10
tonight,10
beheld,10
hate,10
clothes,10
standard,10
mans,10
barren,10
throat,10
merrys,10
weapon,10
troubled,10
feared,10
mounds,10
ephel,10
goodbye,10
duath,10
score,10
clasped,10
knelt,10
beginning,10
wains,10
stop,10
burg,10
staff,10
afar,10
helms,10
flickered,9
setting,9
kind,9
harsh,9
awaits,9
laughing,9
woke,9
fury,9
bell,9
pardon,9
shivered,9
gather,9
knee,9
height,9
flower,9
throne,9
waste,9
bound,9
commanded,9
gazing,9
beds,9
easy,9
looming,9
leather,9
someone,9
camp,9
manner,9
homes,9
dull,9
figures,9
deed,9
thin,9
rangers,9
creatures,9
worst,9
cup,9
pelargir,9
bow,9
touched,9
mischief,9
wrapped,9
corner,9
listened,9
whither,9
brown,9
elladan,9
rath,9
sir,9
job,9
ghan,9
healer,9
meal,9
dimly,9
removed,9
somehow,9
pippins,9
dusk,9
crawling,9
weeks,9
holes,9
shown,9
gorbag,9
ringbearer,9
stooped,9
erech,9
skirts,9
twenty,9
stewards,9
messengers,9
unseen,9
gorgoroth,9
fountain,9
spirit,9
press,9
thence,9
lockholes,9
falls,9
rammas,9
number,9
rested,9
offer,9
stabbed,9
gasped,9
swept,9
deeper,9
hid,9
lonely,9
weather,9
numenor,9
baggins,9
otherwise,9
arwen,9
elfstone,9
business,9
knowing,9
real,9
born,9
sheds,9
kindred,9
waking,9
drop,9
watch,9
sigh,9
hullo,9
elfhelm,9
tooks,9
cone,9
several,9
lorien,9
bundle,9
sunset,9
expect,9
scouts,9
understood,9
struggle,9
battlement,9
pool,9
rear,9
belt,9
draw,9
glimmering,9
feast,9
forlong,9
nearby,9
twilight,9
sister,9
row,9
silently,9
piercing,9
higher,9
released,9
stumbling,9
blind,9
faramirs,8
fed,8
brave,8
mens,8
gandalfs,8
fools,8
staring,8
ingold,8
glimpse,8
dozen,8
threatening,8
servant,8
cottons,8
horrible,8
seeking,8
fleet,8
tide,8
dropped,8
borders,8
fresh,8
paused,8
answering,8
lest,8
challenge,8
sixth,8
thrown,8
eaten,8
mists,8
hob,8
rise,8
teeth,8
legs,8
chiefs,8
returning,8
ate,8
sorry,8
heralds,8
hirgon,8
pouring,8
turret,8
waved,8
loves,8
wavered,8
kindled,8
counsels,8
lain,8
sounds,8
upwards,8
smokes,8
bless,8
sunrise,8
pleased,8
steeds,8
triumph,8
willing,8
fruit,8
trembling,8
notice,8
muster,8
somewhere,8
hell,8
trembled,8
pace,8
tumbled,8
inside,8
debate,8
forest,8
settled,8
amazed,8
ridges,8
warm,8
halls,8
robed,8
drive,8
however,8
trumpet,8
bend,8
dirty,8
hunters,8
harrowdale,8
dinen,8
lower,8
spare,8
laughter,8
hinder,8
folly,8
summoned,8
facing,8
question,8
cliffs,8
smote,8
fumes,8
stout,8
dreaming,8
rules,8
lodging,8
glow,8
message,8
driving,8
fellows,8
elrohir,8
harlond,8
ford,8
southrons,8
armed,8
mortal,8
apart,8
gap,8
celeborn,8
nice,8
halflings,8
kinsman,8
cloaks,8
westernesse,8
summons,8
wouldnt,8
slipped,8
calls,8
bells,7
ends,7
beauty,7
limbs,7
haradrim,7
twelve,7
missed,7
bier,7
blazed,7
oath,7
bending,7
plainly,7
appeared,7
crawl,7
grave,7
escaped,7
pits,7
ghanburighan,7
meduseld,7
gorgun,7
friendship,7
beard,7
escort,7
trapped,7
smaller,7
eored,7
warned,7
quailed,7
upper,7
saddle,7
receive,7
garrison,7
trap,7
lantern,7
revealed,7
greeted,7
naked,7
mostly,7
shore,7
shores,7
breaking,7
striding,7
signal,7
clean,7
rightly,7
story,7
sitting,7
saurons,7
buried,7
common,7
dart,7
building,7
torn,7
engines,7
tongues,7
hurrying,7
bottom,7
nightfall,7
plains,7
meaning,7
feeling,7
watchmen,7
terms,7
stir,7
throw,7
frost,7
rolling,7
beating,7
yonder,7
amazement,7
cliff,7
elf,7
faded,7
